State,Medicaid_Expanded,Total_Enrollment,All_Determinants_Rank,All_Determinants_Value,Cancer_Deaths_Rank,Cancer_Deaths_Value,Cardiovascular_Deaths_Rank,Cardiovascular_Deaths_Value,Cholesterol_Check_Rank,Cholesterol_Check_Value,Dedicated_Health_Provider_Rank,Dedicated_Health_Provider_Value,Diabetes_Rank,Diabetes_Value,Disparity_in_Health_Status_Rank,Disparity_in_Health_Status_Value,Drug_Deaths_Rank,Drug_Deaths_Value,High_Blood_Pressure_Rank,High_Blood_Pressure_Value,High_Cholesterol_Rank,High_Cholesterol_Value,Immunizations_Children_Rank,Immunizations_Children_Value,Infant_Mortality_Rank,Infant_Mortality_Value,Injury_Deaths_Rank,Injury_Deaths_Value,Obesity_Rank,Obesity_Value,Premature_Death_Rank,Premature_Death_Value,Primary_Care_Physicians_Rank,Primary_Care_Physicians_Value,Underemployment_Rate_Rank,Underemployment_Rate_Value,Unemployment_Rate_Rank,Unemployment_Rate_Value,Year,Uninsured_Rank,Uninsured_Value
Maine,Y,263741.0,15.0,0.273,39.0,205.7,12.0,227.4,9.0,81.2,2.0,88.1,27.0,10.6,25.0,29.3,29.0,16.7,36.0,34.1,40.0,38.5,26.0,70.6,33.0,6.6,23.0,69.5,24.0,29.9,22.0,7144.0,7.0,187.4,22.0,8.7,10.0,3.9,2017,24.0,8.2
Montana,Y,274234.0,23.0,0.115,17.0,183.5,17.0,231.8,38.0,74.6,39.0,73.6,5.0,8.1,6.0,21.4,17.0,13.4,7.0,29.1,4.0,33.1,48.0,63.6,20.0,5.7,46.0,90.9,6.0,25.5,36.0,8229.0,44.0,113.6,20.0,8.5,17.0,4.2,2017,36.0,9.9
Tennessee,N,1548572.0,45.0,-0.381,44.0,216.5,45.0,308.0,12.0,80.2,27.0,78.0,44.0,12.7,15.0,26.0,39.0,19.9,44.0,38.5,47.0,40.0,40.0,67.4,38.0,6.9,41.0,81.4,45.0,34.8,43.0,9467.0,27.0,138.5,25.0,9.4,24.0,4.7,2017,34.0,9.7
Michigan,Y,2366223.0,30.0,-0.071,38.0,201.5,42.0,293.0,17.0,79.2,7.0,85.2,33.0,11.2,18.0,26.8,35.0,18.0,33.0,33.1,39.0,38.2,29.0,70.2,32.0,6.5,17.0,66.6,40.0,32.5,31.0,7853.0,6.0,193.0,34.0,10.3,26.0,4.9,2017,11.0,5.8
Alaska,Y,200369.0,34.0,-0.19,29.0,194.9,11.0,222.2,49.0,69.2,50.0,67.8,3.0,7.5,1.0,11.1,27.0,15.6,4.0,27.5,6.0,33.9,34.0,68.8,36.0,6.7,45.0,90.8,30.0,31.4,37.0,8342.0,30.0,133.7,50.0,12.8,49.0,6.6,2017,49.0,14.5
Wisconsin,N,1034480.0,21.0,0.201,26.0,191.7,24.0,238.1,26.0,77.5,14.0,82.9,19.0,9.8,10.0,24.9,26.0,15.1,12.0,29.6,20.0,36.1,3.0,79.4,20.0,5.7,27.0,70.1,27.0,30.7,13.0,6437.0,20.0,145.2,14.0,7.9,15.0,4.1,2017,7.0,5.5
North Carolina,N,1789111.0,31.0,-0.084,32.0,196.9,30.0,254.3,7.0,81.7,23.0,78.8,35.0,11.3,47.0,35.5,19.0,14.0,40.0,35.2,31.0,37.0,6.0,77.8,42.0,7.2,21.0,67.5,35.0,31.8,33.0,7889.0,34.0,130.9,25.0,9.4,33.0,5.0,2017,41.0,10.8
New Jersey,Y,1779163.0,12.0,0.375,15.0,182.2,27.0,245.4,3.0,83.4,16.0,82.3,13.0,9.2,50.0,36.4,24.0,14.8,25.0,30.9,15.0,35.4,29.0,70.2,5.0,4.6,2.0,47.4,13.0,27.3,5.0,5875.0,12.0,171.1,28.0,9.7,26.0,4.9,2017,25.0,8.4
Mississippi,N,646923.0,50.0,-0.705,48.0,226.7,50.0,352.5,32.0,76.0,31.0,77.4,48.0,13.6,3.0,19.0,8.0,11.5,49.0,42.4,41.0,38.7,27.0,70.4,50.0,8.8,44.0,85.6,49.0,37.3,50.0,10950.0,47.0,105.9,44.0,10.9,43.0,5.7,2017,45.0,12.3
South Carolina,N,1036707.0,46.0,-0.424,37.0,201.3,36.0,277.0,20.0,79.0,26.0,78.4,45.0,13.0,8.0,24.0,23.0,14.5,43.0,37.8,42.0,38.9,32.0,69.7,36.0,6.7,34.0,76.0,39.0,32.3,42.0,9131.0,36.0,127.0,28.0,9.7,26.0,4.9,2017,39.0,10.5
