State,Medicaid_Expanded,Total_Enrollment,Month,Year
Maine,Y,263741,Dec,2017
Montana,Y,274234,Dec,2017
Tennessee,N,1548572,Dec,2017
Michigan,Y,2366223,Dec,2017
Alaska,Y,200369,Dec,2017
Wisconsin,N,1034480,Dec,2017
North Carolina,N,1789111,Dec,2017
New Jersey,Y,1779163,Dec,2017
Mississippi,N,646923,Dec,2017
South Carolina,N,1036707,Dec,2017
Alabama,N,899570,Dec,2017
Virginia,Y,1028297,Dec,2017
Indiana,Y,1478130,Dec,2017
Wyoming,N,61072,Dec,2017
Ohio,Y,2845785,Dec,2017
Pennsylvania,Y,2986599,Dec,2017
Arkansas,Y,913196,Dec,2017
Texas,N,4474461,Dec,2017
Illinois,Y,3062268,Dec,2017
Massachusetts,Y,1683846,Dec,2017
Oregon,Y,976182,Dec,2017
Hawaii,Y,346747,Dec,2017
District of Columbia,Y,264016,Dec,2017
Vermont,Y,163649,Dec,2017
Arizona,Y,1716236,Dec,2017
Utah,N,302585,Dec,2017
Idaho,N,297688,Dec,2017
Maryland,Y,1323306,Dec,2017
Washington,Y,1782832,Dec,2017
Iowa,Y,668047,Dec,2017
New York,Y,6477870,Dec,2017
Georgia,N,1812561,Dec,2017
West Virginia,Y,539251,Dec,2017
California,Y,12220546,Dec,2017
Minnesota,Y,1082484,Dec,2017
Nebraska,N,245863,Dec,2017
New Hampshire,Y,189811,Dec,2017
South Dakota,N,112386,Dec,2017
Kentucky,Y,1272976,Dec,2017
New Mexico,Y,743780,Dec,2017
North Dakota,Y,93983,Dec,2017
Kansas,N,389441,Dec,2017
Florida,N,3814637,Dec,2017
Colorado,Y,1357645,Dec,2017
Nevada,Y,638420,Dec,2017
Missouri,N,957642,Dec,2017
Louisiana,Y,1455541,Dec,2017
Rhode Island,Y,312705,Dec,2017
Delaware,Y,247948,Dec,2017
Oklahoma,N,734277,Dec,2017
Connecticut,Y,836906,Dec,2017
