State_Abbr,State,Medicaid_Expanded,Total_Financial_Assistance_Apps_Submitted,Medicaid_Indiv_Elig_Applied,CHIP_Indiv_Elig_Applied,Total Medicaid and CHIP Determinations,Total_Enrollment,Latitude,Longitude,Tot_Medicaid_Enroll,Tot_CHIP_Enroll,Month,Year
OK,Oklahoma,N,53653.0,48783.0,9442.0,58225.0,730160,42.1497,-74.9384,608692,121468,Jan,2019
NJ,New Jersey,Y,54916.0,18347.0,7583.0,25930.0,1730812,41.1289,-98.2883,1518570,212242,Jan,2019
IN,Indiana,Y,98151.0,41697.0,3343.0,45040.0,1454519,40.3363,-89.0022,1340724,113795,Jan,2019
TX,Texas,N,146420.0,104468.0,19161.0,123629.0,4297684,33.8191,-80.9066,3689464,608220,Jan,2019
NY,New York,Y,766142.0,125149.0,6492.0,131641.0,6555401,34.8375,-106.2371,5909269,646132,Jan,2019
MI,Michigan,Y,50661.0,46450.0,1748.0,48198.0,2335095,44.6074,-69.3977,2272598,62497,Jan,2019
KS,Kansas,N,0.0,0.0,0.0,0.0,390420,39.8647,-86.2604,334248,56172,Jan,2019
WY,Wyoming,N,1769.0,856.0,30.0,886.0,58059,44.0407,-72.7093,53418,4641,Jan,2019
WV,West Virginia,Y,28185.0,16810.0,976.0,17786.0,520219,18.0001,-64.8199,486589,33630,Jan,2019
MA,Massachusetts,Y,24175.0,0.0,0.0,0.0,1559003,31.1801,-91.8749,1377342,181661,Jan,2019
IA,Iowa,Y,14955.0,1287.0,0.0,1287.0,692326,21.1098,-157.5311,620717,71609,Jan,2019
MO,Missouri,N,21700.0,9664.0,0.0,9664.0,887297,45.7326,-93.9196,855629,31668,Jan,2019
ND,North Dakota,Y,2187.0,2198.0,64.0,2262.0,91060,46.9048,-110.3261,88885,2175,Jan,2019
NC,North Carolina,N,23960.0,35059.0,4786.0,39845.0,1754020,32.7673,-89.6812,1495121,258899,Jan,2019
DC,District of Columbia,Y,3845.0,3916.0,0.0,3916.0,256704,41.5834,-72.7622,240481,16223,Jan,2019
SC,South Carolina,N,25718.0,6839.0,285.0,7124.0,1048346,40.5773,-77.264,957616,90730,Jan,2019
ID,Idaho,N,10819.0,8233.0,1039.0,9272.0,267944,42.0046,-93.214,241187,26757,Jan,2019
FL,Florida,N,333583.0,182942.0,24840.0,207782.0,3679990,39.3498,-75.5148,3450613,229377,Jan,2019
OH,Ohio,Y,73453.0,59212.0,3316.0,62528.0,2650867,38.4199,-117.1219,2444657,206210,Jan,2019
CT,Connecticut,Y,19270.0,16806.0,414.0,17220.0,861977,39.0646,-105.3272,841860,20117,Jan,2019
RI,Rhode Island,Y,2478.0,4831.0,630.0,5461.0,309557,44.5672,-122.1269,276472,33085,Jan,2019
AR,Arkansas,Y,22763.0,9516.0,382.0,9898.0,847899,34.9513,-92.3809,759851,88048,Jan,2019
WI,Wisconsin,N,24145.0,20365.0,1589.0,21954.0,1021451,37.768,-78.2057,950778,70673,Jan,2019
WA,Washington,Y,154712.0,106611.0,1972.0,108583.0,1731888,40.1135,-111.8535,1661475,70413,Jan,2019
NH,New Hampshire,Y,9700.0,5971.0,587.0,6558.0,183652,47.5362,-99.79299999999999,168348,15304,Jan,2019
DE,Delaware,Y,3059.0,5078.0,701.0,5779.0,249243,38.8964,-77.0262,237759,11484,Jan,2019
ME,Maine,Y,9522.0,9420.0,531.0,9951.0,259597,39.0724,-76.7902,249132,10465,Jan,2019
PA,Pennsylvania,Y,99201.0,92104.0,11680.0,103784.0,2968478,35.5376,-96.9247,2787576,180902,Jan,2019
AZ,Arizona,Y,112351.0,0.0,0.0,0.0,1701450,14.2417,-170.7197,1597610,103840,Jan,2019
SD,South Dakota,N,2801.0,1691.0,0.0,1691.0,111178,18.2766,-66.335,95120,16058,Jan,2019
VT,Vermont,Y,4437.0,6021.0,192.0,6213.0,158440,31.105999999999998,-97.6475,153809,4631,Jan,2019
