State,Medicaid_Expanded,Total_Enrollment,All_Determinants_Rank,All_Determinants_Value,Cancer_Deaths_Rank,Cancer_Deaths_Value,Cardiovascular_Deaths_Rank,Cardiovascular_Deaths_Value,Cholesterol_Check_Rank,Cholesterol_Check_Value,Dedicated_Health_Provider_Rank,Dedicated_Health_Provider_Value,Diabetes_Rank,Diabetes_Value,Disparity_in_Health_Status_Rank,Disparity_in_Health_Status_Value,Drug_Deaths_Rank,Drug_Deaths_Value,High_Blood_Pressure_Rank,High_Blood_Pressure_Value,High_Cholesterol_Rank,High_Cholesterol_Value,Immunizations_Children_Rank,Immunizations_Children_Value,Infant_Mortality_Rank,Infant_Mortality_Value,Injury_Deaths_Rank,Injury_Deaths_Value,Obesity_Rank,Obesity_Value,Premature_Death_Rank,Premature_Death_Value,Primary_Care_Physicians_Rank,Primary_Care_Physicians_Value,Underemployment_Rate_Rank,Underemployment_Rate_Value,Unemployment_Rate_Rank,Unemployment_Rate_Value,Year,Uninsured_Rank,Uninsured_Value
Pennsylvania,Y,2911398.0,26.0,0.057999999999999996,35.0,200.2,35.0,269.0,22.0,86.1,8.0,84.9,28.0,11.3,8.0,20.6,47.0,35.1,29.0,32.6,24.0,33.0,26.0,70.4,28.0,6.1,36.0,85.2,25.0,30.9,33.0,8186.0,5.0,216.3,40.0,8.4,40.0,4.3,2019,9.0,5.5
Texas,N,4170853.0,39.0,-0.26,11.0,180.3,34.0,267.7,35.0,84.6,48.0,68.2,40.0,12.6,21.0,25.2,4.0,10.3,28.0,32.5,24.0,33.0,41.0,67.8,21.0,5.8,6.0,61.0,40.0,34.8,22.0,7240.0,45.0,113.5,21.0,7.4,24.0,3.8,2019,50.0,17.5
North Dakota,Y,89466.0,20.0,0.21600000000000005,10.0,176.8,10.0,227.5,45.0,80.9,42.0,72.6,11.0,9.4,22.0,25.3,3.0,9.3,8.0,29.5,10.0,31.1,4.0,78.8,13.0,5.4,14.0,69.4,43.0,35.1,19.0,6914.0,20.0,154.9,1.0,4.7,5.0,2.8,2019,22.0,7.4
Arizona,Y,1716801.0,34.0,-0.187,4.0,168.5,7.0,223.8,30.0,85.2,40.0,73.6,23.0,10.8,31.0,27.1,29.0,20.8,18.0,30.7,28.0,33.4,44.0,66.5,16.0,5.6,32.0,84.2,15.0,29.5,24.0,7467.0,40.0,125.8,45.0,9.1,45.0,4.7,2019,39.0,10.4
Kentucky,Y,1187486.0,42.0,-0.311,50.0,233.4,42.0,301.2,18.0,86.8,17.0,81.0,44.0,13.7,12.0,21.9,46.0,32.2,46.0,39.4,49.0,38.1,23.0,71.0,36.0,6.6,47.0,97.6,46.0,36.6,47.0,10400.0,39.0,127.0,35.0,8.1,41.0,4.4,2019,9.0,5.5
Massachusetts,Y,1556909.0,2.0,0.6859999999999999,15.0,182.6,3.0,209.8,12.0,88.2,1.0,86.7,3.0,8.6,39.0,29.2,43.0,29.3,5.0,28.6,19.0,32.4,1.0,82.1,1.0,3.8,8.0,63.4,4.0,25.7,6.0,6130.0,2.0,247.4,19.0,7.0,15.0,3.4,2019,1.0,2.8
Louisiana,Y,1503023.0,49.0,-0.64,44.0,214.5,46.0,323.5,25.0,85.9,27.0,76.7,47.0,14.1,4.0,18.3,31.0,21.3,45.0,39.0,47.0,37.6,28.0,70.0,46.0,7.5,41.0,89.1,47.0,36.8,45.0,10169.0,30.0,139.7,47.0,9.4,48.0,4.9,2019,27.0,8.2
Oklahoma,N,716103.0,46.0,-0.4370000000000001,47.0,219.2,49.0,347.5,44.0,82.0,32.0,75.8,36.0,12.5,38.0,29.0,28.0,20.3,42.0,37.7,44.0,37.0,43.0,67.3,47.0,7.6,46.0,97.1,40.0,34.8,44.0,9945.0,37.0,131.2,24.0,7.5,15.0,3.4,2019,49.0,14.2
South Carolina,N,1029967.0,45.0,-0.41100000000000003,38.0,201.7,36.0,278.5,14.0,87.5,30.0,76.1,43.0,13.3,26.0,26.4,23.0,18.0,43.0,38.1,42.0,36.7,49.0,66.0,38.0,6.7,38.0,86.4,37.0,34.3,41.0,9255.0,35.0,131.3,18.0,6.9,18.0,3.5,2019,42.0,10.8
California,Y,11548401.0,16.0,0.272,5.0,168.9,17.0,236.7,13.0,87.6,35.0,74.7,19.0,10.4,47.0,31.8,7.0,12.1,4.0,28.4,7.0,30.8,39.0,68.6,5.0,4.2,2.0,51.4,5.0,25.8,1.0,5665.0,28.0,141.4,43.0,8.8,35.0,4.2,2019,21.0,7.2
