State,Year,Cholesterol_Check_Rank,Cholesterol_Check_Value
Alabama,2014,19,77.6
Alaska,2014,48,70.1
Arizona,2014,45,72.6
Arkansas,2014,46,72.3
California,2014,29,75.2
Colorado,2014,25,76.4
Connecticut,2014,2,83.1
Delaware,2014,9,81.0
Florida,2014,12,79.5
Georgia,2014,21,77.5
Hawaii,2014,27,75.8
Idaho,2014,49,69.3
Illinois,2014,35,74.0
Indiana,2014,31,74.5
Iowa,2014,28,75.7
Kansas,2014,43,73.3
Kentucky,2014,22,77.0
Louisiana,2014,26,76.2
Maine,2014,5,81.4
Maryland,2014,7,81.2
Massachusetts,2014,1,84.0
Michigan,2014,13,79.4
Minnesota,2014,22,77.0
Mississippi,2014,34,74.3
Missouri,2014,38,73.9
Montana,2014,39,73.8
Nebraska,2014,35,74.0
Nevada,2014,35,74.0
New Hampshire,2014,4,81.7
New Jersey,2014,9,81.0
New Mexico,2014,47,71.0
New York,2014,6,81.3
North Carolina,2014,14,79.2
North Dakota,2014,42,73.5
Ohio,2014,18,78.2
Oklahoma,2014,41,73.6
Oregon,2014,33,74.4
Pennsylvania,2014,19,77.6
Rhode Island,2014,3,81.9
South Carolina,2014,17,78.5
South Dakota,2014,44,72.8
Tennessee,2014,8,81.1
Texas,2014,30,74.8
Utah,2014,50,68.3
Vermont,2014,15,78.8
Virginia,2014,11,80.1
Washington,2014,31,74.5
West Virginia,2014,16,78.7
Wisconsin,2014,24,76.6
Wyoming,2014,39,73.8
United States,2014,0,76.4
District of Columbia,2014,0,80.9
