State,Year,Drug_Deaths_Rank,Drug_Deaths_Value
Alabama,2014,18,11.7
Alaska,2014,33,14.4
Arizona,2014,44,17.7
Arkansas,2014,24,12.6
California,2014,12,11.0
Colorado,2014,34,14.8
Connecticut,2014,12,11.0
Delaware,2014,39,16.6
Florida,2014,36,15.2
Georgia,2014,10,10.8
Hawaii,2014,18,11.7
Idaho,2014,23,12.3
Illinois,2014,15,11.1
Indiana,2014,35,15.1
Iowa,2014,5,8.5
Kansas,2014,9,10.4
Kentucky,2014,48,24.0
Louisiana,2014,27,12.9
Maine,2014,12,11.0
Maryland,2014,22,12.2
Massachusetts,2014,21,12.1
Michigan,2014,31,13.9
Minnesota,2014,6,8.6
Mississippi,2014,11,10.9
Missouri,2014,38,16.3
Montana,2014,26,12.8
Nebraska,2014,3,7.3
Nevada,2014,47,22.2
New Hampshire,2014,29,13.4
New Jersey,2014,17,11.6
New Mexico,2014,49,24.8
New York,2014,7,9.4
North Carolina,2014,24,12.6
North Dakota,2014,1,3.0
Ohio,2014,43,17.5
Oklahoma,2014,45,19.8
Oregon,2014,28,13.1
Pennsylvania,2014,42,17.4
Rhode Island,2014,41,17.3
South Carolina,2014,30,13.5
South Dakota,2014,2,6.1
Tennessee,2014,40,17.2
Texas,2014,8,9.9
Utah,2014,46,20.1
Vermont,2014,16,11.3
Virginia,2014,4,8.4
Washington,2014,32,14.0
West Virginia,2014,50,31.3
Wisconsin,2014,20,11.8
Wyoming,2014,37,15.7
United States,2014,0,13.0
District of Columbia,2014,0,13.9
