State,Year,High_Blood_Pressure_Rank,High_Blood_Pressure_Value
Alabama,2014,49,40.3
Alaska,2014,12,29.8
Arizona,2014,18,30.7
Arkansas,2014,44,38.7
California,2014,5,28.7
Colorado,2014,2,26.3
Connecticut,2014,23,31.3
Delaware,2014,41,35.6
Florida,2014,37,34.6
Georgia,2014,39,35.0
Hawaii,2014,4,28.5
Idaho,2014,8,29.4
Illinois,2014,13,30.1
Indiana,2014,33,33.5
Iowa,2014,25,31.4
Kansas,2014,23,31.3
Kentucky,2014,46,39.1
Louisiana,2014,47,39.8
Maine,2014,32,33.3
Maryland,2014,31,32.8
Massachusetts,2014,8,29.4
Michigan,2014,37,34.6
Minnesota,2014,3,27.0
Mississippi,2014,48,40.2
Missouri,2014,28,32.0
Montana,2014,7,29.3
Nebraska,2014,15,30.3
Nevada,2014,17,30.6
New Hampshire,2014,13,30.1
New Jersey,2014,20,31.1
New Mexico,2014,10,29.5
New York,2014,26,31.5
North Carolina,2014,40,35.5
North Dakota,2014,11,29.7
Ohio,2014,33,33.5
Oklahoma,2014,42,37.5
Oregon,2014,27,31.8
Pennsylvania,2014,35,33.7
Rhode Island,2014,36,33.8
South Carolina,2014,43,38.4
South Dakota,2014,18,30.7
Tennessee,2014,45,38.8
Texas,2014,22,31.2
Utah,2014,1,24.2
Vermont,2014,20,31.1
Virginia,2014,30,32.5
Washington,2014,16,30.4
West Virginia,2014,50,41.0
Wisconsin,2014,29,32.3
Wyoming,2014,5,28.7
United States,2014,0,31.4
District of Columbia,2014,0,28.4
