State,Year,Unemployment_Rate_Rank,Unemployment_Rate_Value
Alabama,2014,18,6.5
Alaska,2014,18,6.5
Arizona,2014,40,8.0
Arkansas,2014,34,7.5
California,2014,49,8.9
Colorado,2014,26,6.8
Connecticut,2014,39,7.8
Delaware,2014,23,6.7
Florida,2014,30,7.2
Georgia,2014,42,8.2
Hawaii,2014,8,4.8
Idaho,2014,15,6.2
Illinois,2014,50,9.2
Indiana,2014,34,7.5
Iowa,2014,6,4.6
Kansas,2014,11,5.4
Kentucky,2014,45,8.3
Louisiana,2014,15,6.2
Maine,2014,23,6.7
Maryland,2014,22,6.6
Massachusetts,2014,29,7.1
Michigan,2014,48,8.8
Minnesota,2014,9,5.1
Mississippi,2014,47,8.6
Missouri,2014,18,6.5
Montana,2014,14,5.6
Nebraska,2014,3,3.9
Nevada,2014,52,9.8
New Hampshire,2014,10,5.3
New Jersey,2014,42,8.2
New Mexico,2014,27,6.9
New York,2014,37,7.7
North Carolina,2014,40,8.0
North Dakota,2014,1,2.9
Ohio,2014,31,7.4
Oklahoma,2014,11,5.4
Oregon,2014,37,7.7
Pennsylvania,2014,31,7.4
Rhode Island,2014,51,9.5
South Carolina,2014,36,7.6
South Dakota,2014,2,3.8
Tennessee,2014,42,8.2
Texas,2014,17,6.3
Utah,2014,4,4.4
Vermont,2014,4,4.4
Virginia,2014,13,5.5
Washington,2014,28,7.0
West Virginia,2014,18,6.5
Wisconsin,2014,23,6.7
Wyoming,2014,6,4.6
United States,2014,0,7.4
District of Columbia,2014,0,8.3
