State,Year,Uninsured_Rank,Uninsured_Value
Alabama,2014,25,13.4
Alaska,2014,47,19.5
Arizona,2014,42,17.3
Arkansas,2014,36,16.2
California,2014,43,17.5
Colorado,2014,32,14.4
Connecticut,2014,8,9.3
Delaware,2014,6,9.0
Florida,2014,48,20.0
Georgia,2014,46,18.6
Hawaii,2014,2,6.8
Idaho,2014,36,16.2
Illinois,2014,22,12.8
Indiana,2014,28,14.1
Iowa,2014,5,8.3
Kansas,2014,20,12.4
Kentucky,2014,28,14.1
Louisiana,2014,39,16.7
Maine,2014,12,10.7
Maryland,2014,10,10.2
Massachusetts,2014,1,3.8
Michigan,2014,15,11.2
Minnesota,2014,4,8.1
Mississippi,2014,40,17.1
Missouri,2014,24,13.3
Montana,2014,41,17.2
Nebraska,2014,16,11.3
Nevada,2014,49,21.4
New Hampshire,2014,12,10.7
New Jersey,2014,23,13.0
New Mexico,2014,45,18.5
New York,2014,14,10.8
North Carolina,2014,35,16.1
North Dakota,2014,10,10.2
Ohio,2014,16,11.3
Oklahoma,2014,44,18.0
Oregon,2014,34,14.8
Pennsylvania,2014,9,9.7
Rhode Island,2014,16,11.3
South Carolina,2014,38,16.3
South Dakota,2014,19,11.4
Tennessee,2014,26,13.9
Texas,2014,50,22.3
Utah,2014,30,14.2
Vermont,2014,2,6.8
Virginia,2014,20,12.4
Washington,2014,26,13.9
West Virginia,2014,30,14.2
Wisconsin,2014,6,9.0
Wyoming,2014,32,14.4
United States,2014,0,14.6
District of Columbia,2014,0,6.3
