State,Year,Disparity_in_Health_Status_Rank,Disparity_in_Health_Status_Value
Alabama,2015,3.0,20.2
Alaska,2015,12.0,25.3
United States,2015,0.0,31.6
Arizona,2015,38.0,31.9
Arkansas,2015,14.0,25.4
California,2015,50.0,38.1
Colorado,2015,46.0,35.2
Connecticut,2015,47.0,35.9
District of Columbia,2015,0.0,39.8
Delaware,2015,35.0,31.3
Florida,2015,40.0,32.4
Georgia,2015,22.0,28.0
Hawaii,2015,2.0,18.3
Idaho,2015,28.0,28.7
Illinois,2015,32.0,30.8
Indiana,2015,20.0,27.0
Iowa,2015,26.0,28.6
Kansas,2015,31.0,29.1
Kentucky,2015,21.0,27.5
Louisiana,2015,4.0,22.0
Maine,2015,19.0,26.6
Maryland,2015,42.0,33.2
Massachusetts,2015,49.0,36.5
Michigan,2015,15.0,25.8
Minnesota,2015,9.0,24.6
Mississippi,2015,1.0,14.9
Missouri,2015,28.0,28.7
Montana,2015,23.0,28.1
Nebraska,2015,43.0,33.8
Nevada,2015,23.0,28.1
New Hampshire,2015,10.0,24.7
New Jersey,2015,40.0,32.4
New Mexico,2015,26.0,28.6
New York,2015,37.0,31.8
North Carolina,2015,48.0,36.4
North Dakota,2015,8.0,24.5
Ohio,2015,12.0,25.3
Oklahoma,2015,11.0,25.1
Oregon,2015,36.0,31.6
Pennsylvania,2015,23.0,28.1
Rhode Island,2015,34.0,31.0
South Carolina,2015,16.0,25.9
South Dakota,2015,5.0,22.6
Tennessee,2015,6.0,23.1
Texas,2015,44.0,34.0
Utah,2015,28.0,28.7
Vermont,2015,44.0,34.0
Virginia,2015,33.0,30.9
Washington,2015,17.0,26.2
West Virginia,2015,7.0,24.0
Wisconsin,2015,39.0,32.2
Wyoming,2015,17.0,26.2
