State,Year,Immunizations_Children_Rank,Immunizations_Children_Value
Alabama,2015,7.0,76.9
Alaska,2015,39.0,67.3
Arizona,2015,43.0,66.1
Arkansas,2015,44.0,66.0
California,2015,6.0,77.9
Colorado,2015,21.0,72.8
Connecticut,2015,20.0,73.0
Delaware,2015,13.0,74.5
Florida,2015,22.0,72.7
Georgia,2015,15.0,74.0
Hawaii,2015,16.0,73.7
Idaho,2015,45.0,65.9
Illinois,2015,35.0,68.3
Indiana,2015,42.0,66.3
Iowa,2015,27.0,71.3
Kansas,2015,8.0,76.5
Kentucky,2015,24.0,72.3
Louisiana,2015,19.0,73.2
Maine,2015,1.0,84.7
Maryland,2015,14.0,74.4
Massachusetts,2015,12.0,75.4
Michigan,2015,47.0,65.0
Minnesota,2015,33.0,70.5
Mississippi,2015,31.0,70.7
Missouri,2015,34.0,70.0
Montana,2015,41.0,67.1
Nebraska,2015,4.0,80.2
Nevada,2015,37.0,67.7
New Hampshire,2015,3.0,80.4
New Jersey,2015,40.0,67.2
New Mexico,2015,10.0,75.9
New York,2015,31.0,70.7
North Carolina,2015,2.0,80.8
North Dakota,2015,27.0,71.3
Ohio,2015,36.0,68.1
Oklahoma,2015,18.0,73.3
Oregon,2015,46.0,65.3
Pennsylvania,2015,5.0,78.6
Rhode Island,2015,11.0,75.6
South Carolina,2015,23.0,72.6
South Dakota,2015,9.0,76.3
Tennessee,2015,25.0,71.9
Texas,2015,48.0,64.0
Utah,2015,30.0,70.8
Vermont,2015,26.0,71.8
Virginia,2015,16.0,73.7
Washington,2015,38.0,67.4
West Virginia,2015,50.0,63.4
Wisconsin,2015,29.0,70.9
Wyoming,2015,48.0,64.0
District of Columbia,2015,0.0,71.1
United States,2015,0.0,71.6
