State,Year,Diabetes_Rank,Diabetes_Value
Alabama,2017,49.0,14.6
Alaska,2017,3.0,7.5
Arizona,2017,29.0,10.8
Arkansas,2017,47.0,13.5
California,2017,22.0,10.2
Colorado,2017,1.0,6.6
Connecticut,2017,19.0,9.8
Delaware,2017,27.0,10.6
Florida,2017,40.0,11.8
Georgia,2017,42.0,12.1
Hawaii,2017,25.0,10.5
Idaho,2017,11.0,8.9
Illinois,2017,23.0,10.4
Indiana,2017,37.0,11.5
Iowa,2017,14.0,9.3
Kansas,2017,16.0,9.4
Kentucky,2017,46.0,13.1
Louisiana,2017,42.0,12.1
Maine,2017,27.0,10.6
Maryland,2017,29.0,10.8
Massachusetts,2017,14.0,9.3
Michigan,2017,33.0,11.2
Minnesota,2017,7.0,8.4
Mississippi,2017,48.0,13.6
Missouri,2017,37.0,11.5
Montana,2017,5.0,8.1
Nebraska,2017,10.0,8.8
Nevada,2017,31.0,11.1
New Hampshire,2017,12.0,9.0
New Jersey,2017,13.0,9.2
New Mexico,2017,39.0,11.6
New York,2017,25.0,10.5
North Carolina,2017,35.0,11.3
North Dakota,2017,9.0,8.6
Ohio,2017,31.0,11.1
Oklahoma,2017,41.0,12.0
Oregon,2017,18.0,9.5
Pennsylvania,2017,35.0,11.3
Rhode Island,2017,19.0,9.8
South Carolina,2017,45.0,13.0
South Dakota,2017,4.0,7.9
Tennessee,2017,44.0,12.7
Texas,2017,33.0,11.2
Utah,2017,2.0,7.2
Vermont,2017,7.0,8.4
Virginia,2017,23.0,10.4
Washington,2017,16.0,9.4
West Virginia,2017,50.0,15.0
Wisconsin,2017,19.0,9.8
Wyoming,2017,6.0,8.3
United States,2017,0.0,10.5
District of Columbia,2017,0.0,7.7
