State,Year,Injury_Deaths_Rank,Injury_Deaths_Value
Alabama,2017,35.0,76.2
Alaska,2017,45.0,90.8
Arizona,2017,40.0,78.0
Arkansas,2017,39.0,77.8
California,2017,3.0,48.3
Colorado,2017,36.0,76.5
Connecticut,2017,8.0,57.4
Delaware,2017,19.0,67.1
Florida,2017,16.0,65.4
Georgia,2017,14.0,63.1
Hawaii,2017,4.0,50.5
Idaho,2017,33.0,74.3
Illinois,2017,6.0,54.4
Indiana,2017,24.0,69.6
Iowa,2017,13.0,61.7
Kansas,2017,24.0,69.6
Kentucky,2017,43.0,85.4
Louisiana,2017,41.0,81.4
Maine,2017,23.0,69.5
Maryland,2017,11.0,60.2
Massachusetts,2017,5.0,50.8
Michigan,2017,17.0,66.6
Minnesota,2017,11.0,60.2
Mississippi,2017,44.0,85.6
Missouri,2017,37.0,77.1
Montana,2017,46.0,90.9
Nebraska,2017,7.0,57.1
Nevada,2017,29.0,72.0
New Hampshire,2017,28.0,71.3
New Jersey,2017,2.0,47.4
New Mexico,2017,49.0,100.6
New York,2017,1.0,43.2
North Carolina,2017,21.0,67.5
North Dakota,2017,18.0,66.8
Ohio,2017,30.0,72.1
Oklahoma,2017,48.0,93.5
Oregon,2017,22.0,68.2
Pennsylvania,2017,26.0,70.0
Rhode Island,2017,20.0,67.4
South Carolina,2017,34.0,76.0
South Dakota,2017,32.0,74.1
Tennessee,2017,41.0,81.4
Texas,2017,10.0,58.3
Utah,2017,38.0,77.2
Vermont,2017,31.0,72.5
Virginia,2017,9.0,57.6
Washington,2017,15.0,63.3
West Virginia,2017,50.0,101.1
Wisconsin,2017,27.0,70.1
Wyoming,2017,47.0,91.7
United States,2017,0.0,63.4
District of Columbia,2017,0.0,63.9
