State,Year,High_Cholesterol_Rank,High_Cholesterol_Value
Alabama,2018,45.0,37.2
Alaska,2018,12.0,31.2
Arizona,2018,28.0,33.4
Arkansas,2018,43.0,36.8
California,2018,7.0,30.8
Colorado,2018,5.0,30.3
Connecticut,2018,18.0,32.2
Delaware,2018,35.0,34.6
Florida,2018,40.0,35.9
Georgia,2018,10.0,31.1
Hawaii,2018,14.0,31.8
Idaho,2018,7.0,30.8
Illinois,2018,20.0,32.5
Indiana,2018,30.0,34.1
Iowa,2018,30.0,34.1
Kansas,2018,30.0,34.1
Kentucky,2018,49.0,38.1
Louisiana,2018,47.0,37.6
Maine,2018,46.0,37.4
Maryland,2018,20.0,32.5
Massachusetts,2018,19.0,32.4
Michigan,2018,38.0,35.1
Minnesota,2018,3.0,29.0
Mississippi,2018,48.0,37.7
Missouri,2018,33.0,34.3
Montana,2018,2.0,28.8
Nebraska,2018,16.0,31.9
Nevada,2018,27.0,33.1
New Hampshire,2018,23.0,32.8
New Jersey,2018,35.0,34.6
New Mexico,2018,13.0,31.4
New York,2018,22.0,32.6
North Carolina,2018,39.0,35.5
North Dakota,2018,10.0,31.1
Ohio,2018,28.0,33.4
Oklahoma,2018,44.0,37.0
Oregon,2018,17.0,32.1
Pennsylvania,2018,24.0,33.0
Rhode Island,2018,24.0,33.0
South Carolina,2018,42.0,36.7
South Dakota,2018,4.0,29.5
Tennessee,2018,41.0,36.5
Texas,2018,24.0,33.0
Utah,2018,1.0,28.6
Vermont,2018,6.0,30.4
Virginia,2018,37.0,34.7
Washington,2018,14.0,31.8
West Virginia,2018,50.0,39.7
Wisconsin,2018,34.0,34.5
Wyoming,2018,7.0,30.8
United States,2018,0.0,33.0
District of Columbia,2018,0.0,27.5
