State,Year,Immunizations_Children_Rank,Immunizations_Children_Value
Alaska,2018,32.0,69.5
Alabama,2018,21.0,71.2
United States,2018,0.0,70.4
Arkansas,2018,34.0,69.4
Arizona,2018,44.0,66.5
California,2018,39.0,68.6
Colorado,2018,23.0,71.0
Connecticut,2018,10.0,75.3
District of Columbia,2018,0.0,74.0
Delaware,2018,6.0,77.1
Florida,2018,8.0,76.2
Georgia,2018,50.0,65.6
Hawaii,2018,31.0,69.8
Iowa,2018,16.0,72.8
Idaho,2018,36.0,69.2
Illinois,2018,9.0,75.4
Indiana,2018,46.0,66.3
Kansas,2018,32.0,69.5
Kentucky,2018,23.0,71.0
Louisiana,2018,28.0,70.0
Massachusetts,2018,1.0,82.1
Maryland,2018,11.0,75.2
Maine,2018,17.0,72.7
Michigan,2018,29.0,69.9
Minnesota,2018,48.0,66.1
Missouri,2018,21.0,71.2
Mississippi,2018,38.0,68.7
Montana,2018,47.0,66.2
North Carolina,2018,25.0,70.9
North Dakota,2018,4.0,78.8
Nebraska,2018,5.0,77.9
New Hampshire,2018,3.0,78.9
New Jersey,2018,35.0,69.3
New Mexico,2018,19.0,71.9
Nevada,2018,20.0,71.3
New York,2018,42.0,67.5
Ohio,2018,45.0,66.4
Oklahoma,2018,43.0,67.3
Oregon,2018,27.0,70.3
Pennsylvania,2018,26.0,70.4
Rhode Island,2018,14.0,74.4
South Carolina,2018,49.0,66.0
South Dakota,2018,12.0,74.7
Tennessee,2018,2.0,79.3
Texas,2018,41.0,67.8
Utah,2018,40.0,67.9
Virginia,2018,6.0,77.1
Vermont,2018,15.0,74.0
Washington,2018,29.0,69.9
Wisconsin,2018,36.0,69.2
West Virginia,2018,12.0,74.7
Wyoming,2018,18.0,72.0
