State,Year,Obesity_Rank,Obesity_Value
Alabama,2018,46.0,36.3
Alaska,2018,42.0,34.2
Arizona,2018,21.0,29.5
Arkansas,2018,44.0,35.0
California,2018,3.0,25.1
Colorado,2018,1.0,22.6
Connecticut,2018,9.0,26.9
Delaware,2018,28.0,31.8
Florida,2018,14.0,28.4
Georgia,2018,26.0,31.6
Hawaii,2018,2.0,23.8
Idaho,2018,19.0,29.3
Illinois,2018,24.0,31.1
Indiana,2018,39.0,33.6
Iowa,2018,47.0,36.4
Kansas,2018,32.0,32.3
Kentucky,2018,43.0,34.3
Louisiana,2018,45.0,36.2
Maine,2018,18.0,29.1
Maryland,2018,25.0,31.3
Massachusetts,2018,7.0,25.8
Michigan,2018,32.0,32.3
Minnesota,2018,14.0,28.4
Mississippi,2018,49.0,37.3
Missouri,2018,34.0,32.5
Montana,2018,5.0,25.3
Nebraska,2018,35.0,32.8
Nevada,2018,8.0,26.7
New Hampshire,2018,13.0,28.1
New Jersey,2018,10.0,27.2
New Mexico,2018,14.0,28.4
New York,2018,6.0,25.7
North Carolina,2018,31.0,32.1
North Dakota,2018,38.0,33.1
Ohio,2018,40.0,33.8
Oklahoma,2018,48.0,36.5
Oregon,2018,20.0,29.4
Pennsylvania,2018,26.0,31.6
Rhode Island,2018,22.0,30.0
South Carolina,2018,41.0,34.1
South Dakota,2018,29.0,31.9
Tennessee,2018,35.0,32.8
Texas,2018,37.0,33.0
Utah,2018,4.0,25.2
Vermont,2018,11.0,27.6
Virginia,2018,22.0,30.0
Washington,2018,12.0,27.7
West Virginia,2018,50.0,38.1
Wisconsin,2018,30.0,32.0
Wyoming,2018,17.0,28.8
United States,2018,0.0,31.3
District of Columbia,2018,0.0,23.0
