State,Year,Underemployment_Rate_Rank,Underemployment_Rate_Value
Alaska,2019,50.0,12.0
Alabama,2019,20.0,7.3
United States,2019,0.0,7.7
Arkansas,2019,28.0,7.7
Arizona,2019,45.0,9.1
California,2019,43.0,8.8
Colorado,2019,12.0,6.3
Connecticut,2019,44.0,8.9
District of Columbia,2019,0.0,9.2
Delaware,2019,21.0,7.4
Florida,2019,27.0,7.6
Georgia,2019,33.0,8.0
Hawaii,2019,10.0,6.1
Iowa,2019,2.0,5.2
Idaho,2019,12.0,6.3
Illinois,2019,35.0,8.1
Indiana,2019,15.0,6.6
Kansas,2019,8.0,6.0
Kentucky,2019,35.0,8.1
Louisiana,2019,47.0,9.4
Massachusetts,2019,19.0,7.0
Maryland,2019,33.0,8.0
Maine,2019,30.0,7.8
Michigan,2019,31.0,7.9
Minnesota,2019,3.0,5.4
Missouri,2019,16.0,6.8
Mississippi,2019,42.0,8.7
Montana,2019,24.0,7.5
North Carolina,2019,24.0,7.5
North Dakota,2019,1.0,4.7
Nebraska,2019,6.0,5.8
New Hampshire,2019,4.0,5.6
New Jersey,2019,28.0,7.7
New Mexico,2019,45.0,9.1
Nevada,2019,48.0,9.5
New York,2019,35.0,8.1
Ohio,2019,38.0,8.3
Oklahoma,2019,24.0,7.5
Oregon,2019,38.0,8.3
Pennsylvania,2019,40.0,8.4
Rhode Island,2019,21.0,7.4
South Carolina,2019,18.0,6.9
South Dakota,2019,6.0,5.8
Tennessee,2019,16.0,6.8
Texas,2019,21.0,7.4
Utah,2019,10.0,6.1
Virginia,2019,14.0,6.4
Vermont,2019,5.0,5.7
Washington,2019,40.0,8.4
Wisconsin,2019,8.0,6.0
West Virginia,2019,49.0,9.8
Wyoming,2019,31.0,7.9
