State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
NJ,New Jersey,09/01/2017,Y,U,Y,32777,,N/A,,32777,,12621,Does Not Include All Medicaid Determinations Made At Application,4201,Does Not Include All CHIP Determinations Made At Application,16822,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,,1763781,,41.1289,-98.2883,1561429,,202352,
MI,Michigan,09/01/2017,Y,U,Y,50997,,N/A,,50997,,52493,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1429,,53922,,Does Not Include All Full-Benefit Child Medicaid enrollees,2356366,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,2301349,Does Not Include All Full-Benefit Medicaid enrollees,55017,
IN,Indiana,09/01/2017,Y,U,Y,77938,,N/A,,77938,,33034,,2868,,35902,,,1491361,,40.3363,-89.0022,1386886,,104475,
NY,New York,09/01/2017,Y,U,Y,,,751354,Includes Renewals and/or Redeterminations,751354,Includes Renewals and/or Redeterminations,131628,Includes Renewals and/or Redeterminations,17006,Includes Renewals and/or Redeterminations,148634,Includes Renewals and/or Redeterminations,Includes Limited-Benefit Enrollees,6429588,Includes Limited-Benefit Enrollees,34.8375,-106.2371,5844339,Includes Limited-Benefit Enrollees,585249,
RI,Rhode Island,09/01/2017,Y,U,Y,4053,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,4053,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",5041,,607,,5648,,,309904,,44.5672,-122.1269,282355,,27549,
SC,South Carolina,09/01/2017,N,U,Y,18951,,N/A,,18951,,8434,Does Not Include All Medicaid Determinations Made At Application,193,Does Not Include All CHIP Determinations Made At Application,8627,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,,1032321,,40.5773,-77.264,953301,,79020,
WV,West Virginia,09/01/2017,Y,U,Y,22455,,N/A,,22455,,11616,,637,,12253,,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),544284,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,511715,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),32569,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
IA,Iowa,09/01/2017,Y,U,Y,16334,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,16334,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,3086,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,3086,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,,663377,,21.1098,-157.5311,602232,,61145,
MA,Massachusetts,09/01/2017,Y,U,Y,20058,,5079,,25137,,,,,,,,,1622145,,31.1801,-91.8749,1444791,,177354,
WY,Wyoming,09/01/2017,N,U,Y,1794,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1794,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,808,,,,808,,,62088,,44.0407,-72.7093,57578,,4510,
