State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
NE,Nebraska,06/01/2018,N,U,Y,5689,,N/A,,5689,,6726,,952,,7678,,,248886,,35.6411,-79.8431,"(35.6411, -79.8431)",214959,,33927,
UT,Utah,06/01/2018,N,U,Y,19666,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,19666,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",50966,Includes CHIP,,,50966,,,297967,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",252720,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,45247,
OR,Oregon,06/01/2018,Y,U,Y,11492,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,11492,Does Not Include All Non-MAGI Applications,20709,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",1997,,22706,Does Not Include All Non-MAGI Determinations Made At Application,,973948,,40.3736,-82.7755,"(40.3736, -82.7755)",848155,,125793,
MS,Mississippi,06/01/2018,N,U,Y,16918,,N/A,,16918,,10845,,450,,11295,,,630719,,38.4623,-92.302,"(38.4623, -92.302)",553797,,76922,
TN,Tennessee,06/01/2018,N,U,Y,556,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,N/A,,556,Does Not Include All Medicaid Applications,,Does Not Include All Medicaid Determinations Made At Application,452,,452,Does Not Include All Medicaid Determinations Made At Application,,1482362,,41.6772,-71.5101,"(41.6772, -71.5101)",1423482,,58880,
TX,Texas,06/01/2018,N,U,Y,122675,,N/A,,122675,,88909,,14235,,103144,,,4358677,,33.8191,-80.9066,"(33.8191, -80.9066)",3739027,,619650,
SC,South Carolina,06/01/2018,N,U,Y,25054,,N/A,,25054,,7426,Does Not Include All Medicaid Determinations Made At Application,157,Does Not Include All CHIP Determinations Made At Application,7583,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,,1027262,,40.5773,-77.264,"(40.5773, -77.264)",940003,,87259,
VA,Virginia,06/01/2018,Y,U,Y,20005,Includes Renewals and/or Redeterminations,N/A,,20005,Includes Renewals and/or Redeterminations,18385,Includes Renewals and/or Redeterminations,864,Includes Renewals and/or Redeterminations,19249,Includes Renewals and/or Redeterminations,,1044206,,35.7449,-86.7489,"(35.7449, -86.7489)",904783,,139423,
OK,Oklahoma,06/01/2018,N,U,Y,40825,,N/A,,40825,,38581,,7488,,46069,,,734328,,42.1497,-74.9384,"(42.1497, -74.9384)",617606,,116722,
NC,North Carolina,06/01/2018,N,U,Y,22356,,N/A,,22356,,33512,,3491,,37003,,,1779044,,32.7673,-89.6812,"(32.7673, -89.6812)",1535632,,243412,
PA,Pennsylvania,06/01/2018,Y,U,Y,84456,Includes Renewals and/or Redeterminations,N/A,,84456,Includes Renewals and/or Redeterminations,49026,"Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals",8969,"Count is of Households, Not Individuals",57995,"Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals",,2987073,,35.5376,-96.9247,"(35.5376, -96.9247)",2808718,,178355,
WA,Washington,06/01/2018,Y,U,Y,66976,,65416,,132392,,94681,,1598,,96279,,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1747092,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1684616,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),62476,
GA,Georgia,06/01/2018,N,U,Y,46328,,N/A,,46328,,28352,,926,,29278,,,1863305,,27.8333,-81.717,"(27.8333, -81.717)",1653328,,209977,
IA,Iowa,06/01/2018,Y,U,Y,13067,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,13067,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,1195,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,1195,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,,682467,,21.1098,-157.5311,"(21.1098, -157.5311)",611793,,70674,
MA,Massachusetts,06/01/2018,Y,U,Y,19020,,3340,,22360,,,,,,,,,1633340,,31.1801,-91.8749,"(31.1801, -91.8749)",1452700,,180640,
MT,Montana,06/01/2018,Y,U,Y,3189,,N/A,,3189,,3124,,203,,3327,,,280768,,14.8058,145.5505,"(14.8058, 145.5505)",255323,,25445,
OH,Ohio,06/01/2018,Y,U,Y,52513,Includes Renewals and/or Redeterminations,N/A,,52513,Includes Renewals and/or Redeterminations,45577,Includes CHIP; Includes Renewals and/or Redeterminations,2552,,48129,Includes Renewals and/or Redeterminations,,2742843,,38.4199,-117.1219,"(38.4199, -117.1219)",2523767,,219076,
AL,Alabama,06/01/2018,N,U,Y,16859,,N/A,,16859,,24244,,2443,,26687,,,902108,,32.799,-86.8073,"(32.799, -86.8073)",731272,,170836,
DC,District of Columbia,06/01/2018,Y,U,Y,1552,Includes SBM data,1732,,3284,Includes Renewals and/or Redeterminations,3269,Includes Renewals and/or Redeterminations; Includes CHIP,,,3269,,,259107,,41.5834,-72.7622,"(41.5834, -72.7622)",245035,,14072,
WV,West Virginia,06/01/2018,Y,U,Y,19374,,N/A,,19374,,10391,,473,,10864,,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),531387,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,"(18.0001, -64.8199)",498670,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),32717,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
IL,Illinois,06/01/2018,Y,U,Y,63337,,N/A,,63337,,36553,,13226,,49779,,,2989709,,44.2394,-114.5103,"(44.2394, -114.5103)",2759876,,229833,
HI,Hawaii,06/01/2018,Y,U,Y,4791,,N/A,,4791,,5636,,437,,6073,,,338832,,32.9866,-83.6487,"(32.9866, -83.6487)",314075,,24757,
NY,New York,06/01/2018,Y,U,Y,,,626220,Includes Renewals and/or Redeterminations,626220,Includes Renewals and/or Redeterminations,111527,Includes Renewals and/or Redeterminations,8118,Includes Renewals and/or Redeterminations,119645,Includes Renewals and/or Redeterminations,Includes Limited-Benefit Enrollees,6502557,Includes Limited-Benefit Enrollees,34.8375,-106.2371,"(34.8375, -106.2371)",5877743,Includes Limited-Benefit Enrollees,624814,
AZ,Arizona,06/01/2018,Y,U,Y,,,N/A,,,,,,,,,,,1683690,,14.2417,-170.7197,"(14.2417, -170.7197)",1584929,,98761,
ID,Idaho,06/01/2018,N,U,Y,7259,,,,7259,,6458,,525,,6983,,,273002,,42.0046,-93.214,"(42.0046, -93.214)",248502,,24500,
NJ,New Jersey,06/01/2018,Y,U,Y,28187,,N/A,,28187,,11398,Does Not Include All Medicaid Determinations Made At Application,4864,Does Not Include All CHIP Determinations Made At Application,16262,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,,1786522,,41.1289,-98.2883,"(41.1289, -98.2883)",1572313,,214209,
WI,Wisconsin,06/01/2018,N,U,Y,23122,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,23122,Does Not Include All Applications for Limited-Benefit Programs,16443,"Count is of Households, Not Individuals",920,,17363,,,1033955,,37.768,-78.2057,"(37.768, -78.2057)",966070,,67885,
MN,Minnesota,06/01/2018,Y,U,Y,6046,,17013,,23059,,16687,,48,,16735,,,1086788,,43.3504,-84.5603,"(43.3504, -84.5603)",1085485,,1303,
WY,Wyoming,06/01/2018,N,U,Y,1392,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1392,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,620,,35,,655,,,59331,,44.0407,-72.7093,"(44.0407, -72.7093)",54860,,4471,
IN,Indiana,06/01/2018,Y,U,Y,78830,,N/A,,78830,,33862,,2706,,36568,,,1447875,,40.3363,-89.0022,"(40.3363, -89.0022)",1338069,,109806,
MI,Michigan,06/01/2018,Y,U,Y,47255,,N/A,,47255,,44623,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1288,,45911,,Does Not Include All Full-Benefit Child Medicaid enrollees,2357089,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2300894,Does Not Include All Full-Benefit Medicaid enrollees,56195,
ME,Maine,06/01/2018,Y,U,Y,4939,,N/A,,4939,,9481,,539,,10020,,,267208,,39.0724,-76.7902,"(39.0724, -76.7902)",257107,,10101,
RI,Rhode Island,06/01/2018,Y,U,Y,2469,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,2469,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",3578,,538,,4116,,,310875,,44.5672,-122.1269,"(44.5672, -122.1269)",280395,,30480,
AK,Alaska,06/01/2018,Y,U,Y,3239,Includes Renewals and/or Redeterminations,N/A,,3239,Includes Renewals and/or Redeterminations,2245,Includes Renewals and/or Redeterminations; Includes CHIP,,,2245,Includes Renewals and/or Redeterminations,,211054,,61.385,-152.2683,"(61.385, -152.2683)",197325,,13729,
NH,New Hampshire,06/01/2018,Y,U,Y,7724,,N/A,,7724,,4661,,472,,5133,,,185529,,47.5362,-99.793,"(47.5362, -99.793)",171141,,14388,
VT,Vermont,06/01/2018,Y,U,Y,2952,,1211,,4163,Includes Renewals and/or Redeterminations,4824,Includes Renewals and/or Redeterminations,153,,4977,,,162899,,31.106,-97.6475,"(31.106, -97.6475)",158469,,4430,
MD,Maryland,06/01/2018,Y,U,Y,8512,,95234,Includes Renewals and/or Redeterminations,103746,Includes Renewals and/or Redeterminations,31487,Includes Renewals and/or Redeterminations,3348,Includes Renewals and/or Redeterminations,34835,Includes Renewals and/or Redeterminations,,1312067,,42.2373,-71.5314,"(42.2373, -71.5314)",1161507,,150560,
