State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
IL,Illinois,11/01/2018,Y,U,Y,72379,,N/A,,72379,,30789,,9901,,40690,,1369179,,2893666,,44.2394,-114.5103,"(44.2394, -114.5103)",2647343,,246323,
ME,Maine,11/01/2018,Y,U,Y,5110,,N/A,,5110,,9913,,785,,10698,,107016,,260969,,39.0724,-76.7902,"(39.0724, -76.7902)",250644,,10325,
NV,Nevada,11/01/2018,Y,U,Y,24000,Includes Renewals and/or Redeterminations,N/A,,24000,Includes Renewals and/or Redeterminations,11612,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",49,,11661,,302480,,639840,,40.314,-74.5089,"(40.314, -74.5089)",598308,,41532,
FL,Florida,11/01/2018,N,U,Y,235358,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,235358,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,174410,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,21471,,195881,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2487442,,3709647,,39.3498,-75.5148,"(39.3498, -75.5148)",3482705,,226942,
MN,Minnesota,11/01/2018,Y,U,Y,5559,,34916,,40475,,24056,,33,,24089,,536947,,1070989,,43.3504,-84.5603,"(43.3504, -84.5603)",1069785,,1204,
NH,New Hampshire,11/01/2018,Y,U,Y,6946,,N/A,,6946,,4781,,534,,5315,,91199,,184130,,47.5362,-99.793,"(47.5362, -99.793)",169046,,15084,
DC,District of Columbia,11/01/2018,Y,U,Y,829,Includes SBM data,1928,,2757,Includes Renewals and/or Redeterminations,2834,Includes Renewals and/or Redeterminations; Includes CHIP,,,2834,,,,259430,,41.5834,-72.7622,"(41.5834, -72.7622)",243116,,16314,
WI,Wisconsin,11/01/2018,N,U,Y,24849,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,24849,Does Not Include All Applications for Limited-Benefit Programs,18857,"Count is of Households, Not Individuals",1431,,20288,,482773,,1023702,,37.768,-78.2057,"(37.768, -78.2057)",952576,,71126,
OK,Oklahoma,11/01/2018,N,U,Y,47124,Includes Renewals and/or Redeterminations,N/A,,47124,Includes Renewals and/or Redeterminations,37726,Includes Renewals and/or Redeterminations,7463,,45189,Includes Renewals and/or Redeterminations,513437,,732400,,42.1497,-74.9384,"(42.1497, -74.9384)",609961,,122439,
OH,Ohio,11/01/2018,Y,U,Y,67290,Includes Renewals and/or Redeterminations,N/A,,67290,Includes Renewals and/or Redeterminations,50497,Includes CHIP; Includes Renewals and/or Redeterminations,2896,,53393,Includes Renewals and/or Redeterminations,1151738,,2679329,,38.4199,-117.1219,"(38.4199, -117.1219)",2466215,,213114,
RI,Rhode Island,11/01/2018,Y,U,Y,2803,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,2803,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",4190,,592,,4782,,122616,,309688,,44.5672,-122.1269,"(44.5672, -122.1269)",277278,,32410,
NY,New York,11/01/2018,Y,U,Y,,,975323,Includes Renewals and/or Redeterminations,975323,Includes Renewals and/or Redeterminations,128853,Includes Renewals and/or Redeterminations,8766,Includes Renewals and/or Redeterminations,137619,Includes Renewals and/or Redeterminations,2511782,Includes Limited-Benefit Enrollees,6526870,Includes Limited-Benefit Enrollees,34.8375,-106.2371,"(34.8375, -106.2371)",5887361,Includes Limited-Benefit Enrollees,639509,
