State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
GA,Georgia,10/01/2019,N,P,N,46389,,N/A,,46389,,24028,,708,,24736,,1249634,,1815750,,27.8333,-81.717,"(27.8333, -81.717)",1607925,,207825,
KS,Kansas,10/01/2019,N,U,Y,,,N/A,,,,,,,,,,260439,,375504,,39.8647,-86.2604,"(39.8647, -86.2604)",318223,,57281,
MN,Minnesota,10/01/2019,Y,P,N,5181,,16846,,22027,,18361,,63,,18424,,523202,,1029329,,43.3504,-84.5603,"(43.3504, -84.5603)",1028059,,1270,
MO,Missouri,10/01/2019,N,U,Y,22345,Includes Renewals and/or Redeterminations,N/A,,22345,Includes Renewals and/or Redeterminations,11245,Includes Renewals and/or Redeterminations,482,Includes Renewals and/or Redeterminations,11727,Includes Renewals and/or Redeterminations,524374,,835644,,45.7326,-93.9196,"(45.7326, -93.9196)",799681,,35963,
MD,Maryland,10/01/2019,Y,U,Y,7693,,101523,Includes Renewals and/or Redeterminations,109216,Includes Renewals and/or Redeterminations,39494,Includes Renewals and/or Redeterminations,4081,Includes Renewals and/or Redeterminations,43575,Includes Renewals and/or Redeterminations,622786,,1329774,,42.2373,-71.5314,"(42.2373, -71.5314)",1183205,,146569,
CO,Colorado,10/01/2019,Y,U,Y,23826,,46,,23872,,19727,,361,,20088,,569132,,1278105,,36.17,-119.7462,"(36.17, -119.7462)",1198254,,79851,
NM,New Mexico,10/01/2019,Y,U,Y,12542,,N/A,,12542,,17408,,1611,,19019,,329876,,735159,,43.4108,-71.5653,"(43.4108, -71.5653)",697258,,37901,
FL,Florida,10/01/2019,N,P,N,271644,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,271644,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,173442,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,20997,,194439,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2435574,,3640328,,39.3498,-75.5148,"(39.3498, -75.5148)",3400609,,239719,
VA,Virginia,10/01/2019,Y,U,Y,36888,Includes Renewals and/or Redeterminations,N/A,,36888,Includes Renewals and/or Redeterminations,28810,Includes Renewals and/or Redeterminations,939,Includes Renewals and/or Redeterminations,29749,Includes Renewals and/or Redeterminations,740192,,1368331,,35.7449,-86.7489,"(35.7449, -86.7489)",1219888,,148443,
DC,District of Columbia,10/01/2019,Y,P,N,4116,Includes SBM data,2151,,6267,Includes Renewals and/or Redeterminations,4263,Includes Renewals and/or Redeterminations; Includes CHIP,,,4263,,,,251337,,41.5834,-72.7622,"(41.5834, -72.7622)",235314,,16023,
WI,Wisconsin,10/01/2019,N,P,N,25602,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,25602,Does Not Include All Applications for Limited-Benefit Programs,18982,"Count is of Households, Not Individuals",1194,,20176,,502269,,1036953,,37.768,-78.2057,"(37.768, -78.2057)",968951,,68002,
NV,Nevada,10/01/2019,Y,P,N,20909,Includes Renewals and/or Redeterminations,N/A,,20909,Includes Renewals and/or Redeterminations,12845,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",66,,12911,,298087,,630701,,40.314,-74.5089,"(40.314, -74.5089)",590902,,39799,
NH,New Hampshire,10/01/2019,Y,U,Y,8509,,N/A,,8509,,5267,,602,,5869,,89163,,178976,,47.5362,-99.793,"(47.5362, -99.793)",163908,,15068,
ME,Maine,10/01/2019,Y,U,Y,7036,,N/A,,7036,,12001,,725,,12726,,103538,,258914,,39.0724,-76.7902,"(39.0724, -76.7902)",246808,,12106,
CT,Connecticut,10/01/2019,Y,U,Y,6031,,12475,,18506,,16728,,392,,17120,,333764,,851428,,39.0646,-105.3272,"(39.0646, -105.3272)",831289,,20139,
AK,Alaska,10/01/2019,Y,U,Y,3274,Includes Renewals and/or Redeterminations,N/A,,3274,Includes Renewals and/or Redeterminations,2314,Includes Renewals and/or Redeterminations; Includes CHIP,137,,2451,Includes Renewals and/or Redeterminations,97434,,221675,,61.385,-152.2683,"(61.385, -152.2683)",205320,,16355,
NC,North Carolina,10/01/2019,N,U,Y,24206,,N/A,,24206,,36086,,4051,,40137,,1194836,,1776989,,32.7673,-89.6812,"(32.7673, -89.6812)",1498478,,278511,
WV,West Virginia,10/01/2019,Y,P,N,19826,,N/A,,19826,,12438,,677,,13115,,215198,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),513499,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,"(18.0001, -64.8199)",479429,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),34070,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
HI,Hawaii,10/01/2019,Y,P,N,4218,,N/A,,4218,,5863,,388,,6251,,139337,,327043,,32.9866,-83.6487,"(32.9866, -83.6487)",301682,,25361,
ID,Idaho,10/01/2019,N,U,Y,12752,,,,12752,,11819,,971,,12790,,187533,,264965,,42.0046,-93.214,"(42.0046, -93.214)",238986,,25979,
RI,Rhode Island,10/01/2019,Y,U,Y,1324,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,1324,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",1742,,149,,1891,,118303,,298297,,44.5672,-122.1269,"(44.5672, -122.1269)",265561,,32736,
IN,Indiana,10/01/2019,Y,U,Y,97957,,N/A,,97957,,40094,,3839,,43933,,803575,,1476176,,40.3363,-89.0022,"(40.3363, -89.0022)",1363254,,112922,
WY,Wyoming,10/01/2019,N,U,Y,1547,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1547,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,838,,49,,887,,36990,,55881,,44.0407,-72.7093,"(44.0407, -72.7093)",51584,,4297,
MI,Michigan,10/01/2019,Y,U,Y,61184,,N/A,,61184,,55362,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,2094,,57456,,939546,Does Not Include All Full-Benefit Child Medicaid enrollees,2307060,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2240854,Does Not Include All Full-Benefit Medicaid enrollees,66206,
UT,Utah,10/01/2019,N,P,N,14581,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,14581,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",40009,Includes CHIP,,,40009,,184850,,305459,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",264268,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,41191,
NJ,New Jersey,10/01/2019,Y,U,Y,42762,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,42762,Does Not Include All Non-MAGI Applications,16749,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,7158,,23907,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,815411,,1703930,,41.1289,-98.2883,"(41.1289, -98.2883)",1476849,,227081,
CO,Colorado,10/01/2019,Y,P,N,23826,,46,,23872,,19727,,361,,20088,,563500,,1268284,,36.17,-119.7462,"(36.17, -119.7462)",1189039,,79245,
ND,North Dakota,10/01/2019,Y,U,Y,2524,,N/A,,2524,,2455,,66,,2521,,42921,,91269,,46.9048,-110.3261,"(46.9048, -110.3261)",89138,,2131,
KS,Kansas,10/01/2019,N,P,N,,,N/A,,,,,,,,,,260439,,375504,,39.8647,-86.2604,"(39.8647, -86.2604)",318223,,57281,
HI,Hawaii,10/01/2019,Y,U,Y,4218,,N/A,,4218,,5863,,388,,6251,,139530,,327236,,32.9866,-83.6487,"(32.9866, -83.6487)",301869,,25367,
DC,District of Columbia,10/01/2019,Y,U,Y,4116,Includes SBM data,2151,,6267,Includes Renewals and/or Redeterminations,4263,Includes Renewals and/or Redeterminations; Includes CHIP,,,4263,,,,251337,,41.5834,-72.7622,"(41.5834, -72.7622)",235314,,16023,
AZ,Arizona,10/01/2019,Y,U,Y,117684,,N/A,,117684,,,,,,,,,,1719616,,14.2417,-170.7197,"(14.2417, -170.7197)",1620566,,99050,
