State,Medicaid_Expanded,Total_Enrollment,All_Determinants_Rank,All_Determinants_Value,Cancer_Deaths_Rank,Cancer_Deaths_Value,Cardiovascular_Deaths_Rank,Cardiovascular_Deaths_Value,Cholesterol_Check_Rank,Cholesterol_Check_Value,Dedicated_Health_Provider_Rank,Dedicated_Health_Provider_Value,Diabetes_Rank,Diabetes_Value,Disparity_in_Health_Status_Rank,Disparity_in_Health_Status_Value,Drug_Deaths_Rank,Drug_Deaths_Value,High_Blood_Pressure_Rank,High_Blood_Pressure_Value,High_Cholesterol_Rank,High_Cholesterol_Value,Immunizations_Children_Rank,Immunizations_Children_Value,Infant_Mortality_Rank,Infant_Mortality_Value,Obesity_Rank,Obesity_Value,Premature_Death_Rank,Premature_Death_Value,Primary_Care_Physicians_Rank,Primary_Care_Physicians_Value,Underemployment_Rate_Rank,Underemployment_Rate_Value,Unemployment_Rate_Rank,Unemployment_Rate_Value,Uninsured_Rank,Uninsured_Value,Year
Alaska,Y,176799.0,33.0,-0.139,29.0,193.3,9.0,214.1,49.0,69.2,50.0,64.7,3.0,7.6,13.0,25.1,34.0,16.0,4.0,27.5,6.0,33.9,48.0,66.3,27.0,6.1,24.0,29.8,35.0,7857.0,28.0,134.1,45.0,12.1,47.0,6.7,49.0,16.1,2016
Arizona,Y,1739041.0,30.0,-0.062,6.0,170.0,7.0,213.7,27.0,76.9,44.0,72.5,27.0,10.1,43.0,31.4,41.0,18.6,23.0,30.8,33.0,37.3,26.0,72.3,23.0,5.7,17.0,28.4,24.0,7148.0,37.0,123.3,49.0,12.8,42.0,6.0,37.0,12.2,2016
Arkansas,Y,948181.0,48.0,-0.506,46.0,218.1,47.0,317.3,29.0,76.8,12.0,83.5,44.0,12.6,10.0,23.8,14.0,12.1,46.0,39.3,49.0,41.3,46.0,66.6,47.0,7.6,45.0,34.5,45.0,9762.0,43.0,114.7,20.0,9.5,25.0,5.2,30.0,10.7,2016
California,Y,12405352.0,16.0,0.277,5.0,169.9,19.0,229.9,27.0,76.9,37.0,76.6,26.0,10.0,50.0,38.0,12.0,11.4,6.0,28.5,8.0,34.2,17.0,75.0,3.0,4.5,4.0,24.2,3.0,5528.0,30.0,131.5,48.0,12.7,44.0,6.2,29.0,10.5,2016
Colorado,Y,1387165.0,10.0,0.373,3.0,161.8,2.0,199.3,24.0,77.7,38.0,76.2,1.0,6.8,48.0,33.9,33.0,15.9,2.0,25.7,1.0,31.5,14.0,75.4,9.0,4.9,1.0,20.2,10.0,6095.0,25.0,136.3,6.0,7.9,10.0,3.9,23.0,9.2,2016
Connecticut,Y,761310.0,3.0,0.618,8.0,173.2,10.0,217.2,4.0,83.3,7.0,85.2,19.0,9.3,42.0,31.3,28.0,15.1,20.0,30.4,34.0,37.4,1.0,80.6,7.0,4.8,9.0,25.3,2.0,5451.0,4.0,197.8,32.0,10.9,32.0,5.6,6.0,6.5,2016
Delaware,Y,241664.0,28.0,-0.003,34.0,198.5,28.0,247.5,9.0,81.2,10.0,84.9,39.0,11.5,45.0,32.4,39.0,18.1,39.0,34.5,44.0,39.1,3.0,79.3,34.0,6.5,23.0,29.7,31.0,7372.0,17.0,151.4,21.0,9.6,23.0,5.0,9.0,6.9,2016
Hawaii,Y,345975.0,4.0,0.616,2.0,158.4,4.0,206.6,44.0,73.2,11.0,84.8,12.0,8.5,1.0,14.8,10.0,11.2,28.0,32.0,25.0,36.3,20.0,73.8,16.0,5.5,2.0,22.7,7.0,5898.0,10.0,172.6,22.0,9.7,8.0,3.7,3.0,4.7,2016
Illinois,Y,3065331.0,24.0,0.063,35.0,199.6,32.0,253.8,22.0,78.2,15.0,82.6,24.0,9.9,33.0,29.1,16.0,12.6,23.0,30.8,19.0,36.0,33.0,70.8,30.0,6.3,33.0,30.8,21.0,6743.0,11.0,169.5,32.0,10.9,38.0,5.9,20.0,8.4,2016
Indiana,Y,1508219.0,37.0,-0.228,42.0,210.5,38.0,277.1,43.0,73.5,18.0,81.3,37.0,11.4,7.0,22.4,35.0,16.7,29.0,32.4,44.0,39.1,18.0,74.7,42.0,7.1,36.0,31.3,39.0,8208.0,38.0,121.3,16.0,9.0,20.0,4.8,31.0,10.8,2016
