State,Medicaid_Expanded,Total_Enrollment,Month,Year
Vermont,Y,160114,Dec,2018
New Hampshire,Y,184476,Dec,2018
Texas,N,4308644,Dec,2018
Nebraska,N,247510,Dec,2018
Idaho,N,280570,Dec,2018
Massachusetts,Y,1598878,Dec,2018
Maryland,Y,1316115,Dec,2018
Virginia,Y,1053309,Dec,2018
New Mexico,Y,728327,Dec,2018
Mississippi,N,620567,Dec,2018
Kentucky,Y,1222239,Dec,2018
Colorado,Y,1305951,Dec,2018
Arizona,Y,1700470,Dec,2018
Kansas,N,389535,Dec,2018
Alaska,Y,211912,Dec,2018
Utah,N,288403,Dec,2018
Louisiana,Y,1577428,Dec,2018
South Dakota,N,110749,Dec,2018
Montana,Y,279675,Dec,2018
Maine,Y,256900,Dec,2018
Nevada,Y,636208,Dec,2018
California,Y,11927676,Dec,2018
Hawaii,Y,331075,Dec,2018
Oregon,Y,979447,Dec,2018
Florida,N,3703423,Dec,2018
Pennsylvania,Y,2949567,Dec,2018
Georgia,N,1821852,Dec,2018
Oklahoma,N,728153,Dec,2018
Minnesota,Y,1069346,Dec,2018
New Jersey,Y,1738183,Dec,2018
Alabama,N,911983,Dec,2018
Illinois,Y,2860188,Dec,2018
Wisconsin,N,1020034,Dec,2018
Michigan,Y,2333409,Dec,2018
Wyoming,N,58118,Dec,2018
North Carolina,N,1763338,Dec,2018
Missouri,N,888597,Dec,2018
North Dakota,Y,91072,Dec,2018
South Carolina,N,1044270,Dec,2018
West Virginia,Y,520656,Dec,2018
District of Columbia,Y,259243,Dec,2018
Arkansas,Y,850695,Dec,2018
Connecticut,Y,855943,Dec,2018
Delaware,Y,248964,Dec,2018
Ohio,Y,2651092,Dec,2018
Iowa,Y,691918,Dec,2018
Indiana,Y,1450933,Dec,2018
Tennessee,N,1396302,Dec,2018
Washington,Y,1739111,Dec,2018
Rhode Island,Y,311254,Dec,2018
New York,Y,6523404,Dec,2018
