State,Year,Injury_Deaths_Rank,Injury_Deaths_Value
Alabama,2015,0.0,74.9
Alaska,2015,0.0,85.8
Arizona,2015,0.0,76.4
Arkansas,2015,0.0,77.0
California,2015,0.0,46.9
Colorado,2015,0.0,74.3
Connecticut,2015,0.0,51.5
Delaware,2015,0.0,61.7
Florida,2015,0.0,63.7
Georgia,2015,0.0,60.3
Hawaii,2015,0.0,51.0
Idaho,2015,0.0,72.1
Illinois,2015,0.0,51.6
Indiana,2015,0.0,65.2
Iowa,2015,0.0,58.4
Kansas,2015,0.0,67.2
Kentucky,2015,0.0,83.2
Louisiana,2015,0.0,76.9
Maine,2015,0.0,61.9
Maryland,2015,0.0,55.4
Massachusetts,2015,0.0,44.5
Michigan,2015,0.0,62.1
Minnesota,2015,0.0,58.2
Mississippi,2015,0.0,83.2
Missouri,2015,0.0,74.1
Montana,2015,0.0,87.8
Nebraska,2015,0.0,54.6
Nevada,2015,0.0,70.0
New Hampshire,2015,0.0,59.3
New Jersey,2015,0.0,45.4
New Mexico,2015,0.0,94.9
New York,2015,0.0,42.1
North Carolina,2015,0.0,64.4
North Dakota,2015,0.0,61.0
Ohio,2015,0.0,65.5
Oklahoma,2015,0.0,91.1
Oregon,2015,0.0,64.9
Pennsylvania,2015,0.0,66.1
Rhode Island,2015,0.0,60.9
South Carolina,2015,0.0,72.1
South Dakota,2015,0.0,69.2
Tennessee,2015,0.0,79.0
Texas,2015,0.0,57.5
Utah,2015,0.0,76.2
Vermont,2015,0.0,68.9
Virginia,2015,0.0,54.2
Washington,2015,0.0,60.1
West Virginia,2015,0.0,98.9
Wisconsin,2015,0.0,64.8
Wyoming,2015,0.0,86.7
United States,2015,0.0,60.6
District of Columbia,2015,0.0,56.9
