State,Year,Unemployment_Rate_Rank,Unemployment_Rate_Value
Alabama,2015,40.0,6.8
Alaska,2015,40.0,6.8
Arizona,2015,42.0,6.9
Arkansas,2015,26.0,6.1
California,2015,47.0,7.5
Colorado,2015,15.0,5.0
Connecticut,2015,37.0,6.6
Delaware,2015,19.0,5.7
Florida,2015,30.0,6.3
Georgia,2015,45.0,7.2
Hawaii,2015,9.0,4.4
Idaho,2015,14.0,4.8
Illinois,2015,44.0,7.1
Indiana,2015,25.0,6.0
Iowa,2015,9.0,4.4
Kansas,2015,11.0,4.5
Kentucky,2015,34.0,6.5
Louisiana,2015,32.0,6.4
Maine,2015,19.0,5.7
Maryland,2015,22.0,5.8
Massachusetts,2015,22.0,5.8
Michigan,2015,46.0,7.3
Minnesota,2015,5.0,4.1
Mississippi,2015,49.0,7.8
Missouri,2015,26.0,6.1
Montana,2015,13.0,4.7
Nebraska,2015,2.0,3.3
Nevada,2015,49.0,7.8
New Hampshire,2015,7.0,4.3
New Jersey,2015,37.0,6.6
New Mexico,2015,34.0,6.5
New York,2015,30.0,6.3
North Carolina,2015,26.0,6.1
North Dakota,2015,1.0,2.8
Ohio,2015,19.0,5.7
Oklahoma,2015,11.0,4.5
Oregon,2015,42.0,6.9
Pennsylvania,2015,22.0,5.8
Rhode Island,2015,48.0,7.7
South Carolina,2015,32.0,6.4
South Dakota,2015,3.0,3.4
Tennessee,2015,39.0,6.7
Texas,2015,16.0,5.1
Utah,2015,4.0,3.8
Vermont,2015,5.0,4.1
Virginia,2015,17.0,5.2
Washington,2015,29.0,6.2
West Virginia,2015,34.0,6.5
Wisconsin,2015,18.0,5.5
Wyoming,2015,7.0,4.3
United States,2015,0.0,6.2
District of Columbia,2015,0.0,7.8
