State,Year,Immunizations_Children_Rank,Immunizations_Children_Value
Alaska,2016,48.0,66.3
Alabama,2016,35.0,70.6
United States,2016,0.0,72.2
Arkansas,2016,46.0,66.6
Arizona,2016,26.0,72.3
California,2016,17.0,75.0
Colorado,2016,14.0,75.4
Connecticut,2016,1.0,80.6
District of Columbia,2016,0.0,76.3
Delaware,2016,3.0,79.3
Florida,2016,46.0,66.6
Georgia,2016,11.0,75.6
Hawaii,2016,20.0,73.8
Iowa,2016,5.0,77.9
Idaho,2016,29.0,71.6
Illinois,2016,33.0,70.8
Indiana,2016,18.0,74.7
Kansas,2016,16.0,75.2
Kentucky,2016,24.0,73.0
Louisiana,2016,33.0,70.8
Massachusetts,2016,4.0,78.5
Maryland,2016,8.0,76.8
Maine,2016,28.0,71.8
Michigan,2016,44.0,67.6
Minnesota,2016,23.0,73.2
Missouri,2016,32.0,71.0
Mississippi,2016,35.0,70.6
Montana,2016,42.0,68.1
North Carolina,2016,10.0,76.4
North Dakota,2016,2.0,80.2
Nebraska,2016,20.0,73.8
New Hampshire,2016,19.0,74.1
New Jersey,2016,9.0,76.5
New Mexico,2016,37.0,70.1
Nevada,2016,30.0,71.3
New York,2016,27.0,71.9
Ohio,2016,40.0,68.3
Oklahoma,2016,14.0,75.4
Oregon,2016,45.0,67.4
Pennsylvania,2016,25.0,72.8
Rhode Island,2016,6.0,77.2
South Carolina,2016,41.0,68.2
South Dakota,2016,11.0,75.6
Tennessee,2016,37.0,70.1
Texas,2016,31.0,71.2
Utah,2016,42.0,68.1
Virginia,2016,50.0,64.4
Vermont,2016,11.0,75.6
Washington,2016,7.0,77.1
Wisconsin,2016,39.0,68.8
West Virginia,2016,49.0,64.9
Wyoming,2016,22.0,73.3
