State,Year,Underemployment_Rate_Rank,Underemployment_Rate_Value
Alaska,2016,45.0,12.1
Alabama,2016,37.0,11.2
United States,2016,0.0,10.4
Arkansas,2016,20.0,9.5
Arizona,2016,49.0,12.8
California,2016,48.0,12.7
Colorado,2016,6.0,7.9
Connecticut,2016,32.0,10.9
District of Columbia,2016,0.0,10.9
Delaware,2016,21.0,9.6
Florida,2016,42.0,11.5
Georgia,2016,35.0,11.1
Hawaii,2016,22.0,9.7
Iowa,2016,4.0,7.0
Idaho,2016,15.0,8.6
Illinois,2016,32.0,10.9
Indiana,2016,16.0,9.0
Kansas,2016,9.0,8.2
Kentucky,2016,27.0,10.3
Louisiana,2016,35.0,11.1
Massachusetts,2016,22.0,9.7
Maryland,2016,18.0,9.3
Maine,2016,24.0,9.8
Michigan,2016,39.0,11.4
Minnesota,2016,9.0,8.2
Missouri,2016,18.0,9.3
Mississippi,2016,43.0,11.7
Montana,2016,16.0,9.0
North Carolina,2016,38.0,11.3
North Dakota,2016,1.0,5.3
Nebraska,2016,3.0,6.7
New Hampshire,2016,7.0,8.0
New Jersey,2016,28.0,10.4
New Mexico,2016,47.0,12.6
Nevada,2016,50.0,13.9
New York,2016,29.0,10.6
Ohio,2016,26.0,10.1
Oklahoma,2016,7.0,8.0
Oregon,2016,43.0,11.7
Pennsylvania,2016,30.0,10.7
Rhode Island,2016,39.0,11.4
South Carolina,2016,39.0,11.4
South Dakota,2016,2.0,6.3
Tennessee,2016,30.0,10.7
Texas,2016,14.0,8.4
Utah,2016,5.0,7.5
Virginia,2016,24.0,9.8
Vermont,2016,9.0,8.2
Washington,2016,34.0,11.0
Wisconsin,2016,13.0,8.3
West Virginia,2016,46.0,12.4
Wyoming,2016,9.0,8.2
