State,Year,Infant_Mortality_Rank,Infant_Mortality_Value
Alabama,2017,49.0,8.5
Alaska,2017,36.0,6.7
Arizona,2017,23.0,5.8
Arkansas,2017,44.0,7.5
California,2017,2.0,4.4
Colorado,2017,8.0,4.7
Connecticut,2017,15.0,5.2
Delaware,2017,48.0,7.9
Florida,2017,29.0,6.2
Georgia,2017,45.0,7.6
Hawaii,2017,15.0,5.2
Idaho,2017,12.0,5.1
Illinois,2017,30.0,6.3
Indiana,2017,42.0,7.2
Iowa,2017,4.0,4.5
Kansas,2017,27.0,6.1
Kentucky,2017,38.0,6.9
Louisiana,2017,45.0,7.6
Maine,2017,33.0,6.6
Maryland,2017,33.0,6.6
Massachusetts,2017,2.0,4.4
Michigan,2017,32.0,6.5
Minnesota,2017,12.0,5.1
Mississippi,2017,50.0,8.8
Missouri,2017,30.0,6.3
Montana,2017,20.0,5.7
Nebraska,2017,19.0,5.4
Nevada,2017,18.0,5.3
New Hampshire,2017,1.0,4.2
New Jersey,2017,5.0,4.6
New Mexico,2017,15.0,5.2
New York,2017,5.0,4.6
North Carolina,2017,42.0,7.2
North Dakota,2017,27.0,6.1
Ohio,2017,40.0,7.0
Oklahoma,2017,47.0,7.7
Oregon,2017,12.0,5.1
Pennsylvania,2017,26.0,6.0
Rhode Island,2017,10.0,5.0
South Carolina,2017,36.0,6.7
South Dakota,2017,33.0,6.6
Tennessee,2017,38.0,6.9
Texas,2017,23.0,5.8
Utah,2017,10.0,5.0
Vermont,2017,5.0,4.6
Virginia,2017,23.0,5.8
Washington,2017,8.0,4.7
West Virginia,2017,41.0,7.1
Wisconsin,2017,20.0,5.7
Wyoming,2017,20.0,5.7
United States,2017,0.0,5.9
District of Columbia,2017,0.0,7.9
