State,Year,Primary_Care_Physicians_Rank,Primary_Care_Physicians_Value
Alaska,2017,30.0,133.7
Alabama,2017,42.0,119.3
Arkansas,2017,43.0,115.4
Arizona,2017,37.0,126.0
California,2017,29.0,135.1
Colorado,2017,26.0,139.9
Connecticut,2017,4.0,209.4
Delaware,2017,18.0,156.7
Florida,2017,32.0,131.6
Georgia,2017,41.0,119.9
Hawaii,2017,9.0,179.9
Iowa,2017,23.0,142.3
Idaho,2017,50.0,96.6
Illinois,2017,10.0,175.3
Indiana,2017,39.0,123.4
Kansas,2017,31.0,133.3
Kentucky,2017,40.0,120.6
Louisiana,2017,33.0,131.1
Massachusetts,2017,2.0,237.1
Maryland,2017,8.0,184.9
Maine,2017,7.0,187.4
Michigan,2017,6.0,193.0
Minnesota,2017,14.0,162.3
Missouri,2017,16.0,160.4
Mississippi,2017,47.0,105.9
Montana,2017,44.0,113.6
North Carolina,2017,34.0,130.9
North Dakota,2017,25.0,140.5
Nebraska,2017,19.0,150.7
New Hampshire,2017,15.0,160.6
New Jersey,2017,12.0,171.1
New Mexico,2017,28.0,136.6
Nevada,2017,46.0,107.9
New York,2017,3.0,215.5
Ohio,2017,13.0,167.3
Oklahoma,2017,35.0,127.5
Oregon,2017,22.0,143.8
Pennsylvania,2017,5.0,199.8
Rhode Island,2017,1.0,256.3
South Carolina,2017,36.0,127.0
South Dakota,2017,38.0,125.8
Tennessee,2017,27.0,138.5
Texas,2017,45.0,112.9
Utah,2017,49.0,99.8
Virginia,2017,24.0,141.8
Vermont,2017,11.0,175.1
Washington,2017,21.0,144.0
Wisconsin,2017,20.0,145.2
West Virginia,2017,17.0,159.6
Wyoming,2017,48.0,105.7
United States,2017,0.0,149.7
District of Columbia,2017,0.0,451.1
