State,Year,Uninsured_Rank,Uninsured_Value
Alaska,2017,49.0,14.5
Alabama,2017,33.0,9.6
United States,2017,0.0,9.0
Arkansas,2017,27.0,8.7
Arizona,2017,38.0,10.4
California,2017,23.0,8.0
Colorado,2017,22.0,7.8
Connecticut,2017,7.0,5.5
District of Columbia,2017,0.0,3.9
Delaware,2017,11.0,5.8
Florida,2017,46.0,12.9
Georgia,2017,47.0,13.4
Hawaii,2017,2.0,3.8
Iowa,2017,5.0,4.7
Idaho,2017,40.0,10.6
Illinois,2017,20.0,6.8
Indiana,2017,28.0,8.9
Kansas,2017,28.0,8.9
Kentucky,2017,9.0,5.6
Louisiana,2017,42.0,11.1
Massachusetts,2017,1.0,2.7
Maryland,2017,17.0,6.4
Maine,2017,24.0,8.2
Michigan,2017,11.0,5.8
Minnesota,2017,4.0,4.3
Missouri,2017,31.0,9.4
Mississippi,2017,45.0,12.3
Montana,2017,36.0,9.9
North Carolina,2017,41.0,10.8
North Dakota,2017,21.0,7.4
Nebraska,2017,25.0,8.4
New Hampshire,2017,14.0,6.1
New Jersey,2017,25.0,8.4
New Mexico,2017,37.0,10.1
Nevada,2017,44.0,11.9
New York,2017,18.0,6.6
Ohio,2017,14.0,6.1
Oklahoma,2017,48.0,13.9
Oregon,2017,18.0,6.6
Pennsylvania,2017,13.0,6.0
Rhode Island,2017,6.0,5.0
South Carolina,2017,39.0,10.5
South Dakota,2017,32.0,9.5
Tennessee,2017,34.0,9.7
Texas,2017,50.0,16.9
Utah,2017,34.0,9.7
Virginia,2017,28.0,8.9
Vermont,2017,2.0,3.8
Washington,2017,16.0,6.3
Wisconsin,2017,7.0,5.5
West Virginia,2017,10.0,5.7
Wyoming,2017,43.0,11.5
