State,Year,Cancer_Deaths_Rank,Cancer_Deaths_Value
Alabama,2018,42.0,210.5
Alaska,2018,26.0,192.1
Arizona,2018,4.0,168.4
Arkansas,2018,47.0,218.6
California,2018,7.0,169.2
Colorado,2018,3.0,162.3
Connecticut,2018,8.0,174.7
Delaware,2018,36.0,200.8
Florida,2018,12.0,181.4
Georgia,2018,31.0,195.5
Hawaii,2018,2.0,161.1
Idaho,2018,14.0,182.1
Illinois,2018,34.0,199.9
Indiana,2018,42.0,210.5
Iowa,2018,30.0,195.3
Kansas,2018,31.0,195.5
Kentucky,2018,50.0,234.9
Louisiana,2018,44.0,215.3
Maine,2018,39.0,205.8
Maryland,2018,21.0,188.1
Massachusetts,2018,16.0,182.7
Michigan,2018,38.0,203.0
Minnesota,2018,12.0,181.4
Mississippi,2018,48.0,226.6
Missouri,2018,40.0,207.2
Montana,2018,17.0,183.3
Nebraska,2018,19.0,187.4
Nevada,2018,22.0,190.1
New Hampshire,2018,27.0,192.8
New Jersey,2018,15.0,182.3
New Mexico,2018,6.0,168.9
New York,2018,9.0,177.7
North Carolina,2018,33.0,197.9
North Dakota,2018,10.0,177.8
Ohio,2018,41.0,210.3
Oklahoma,2018,45.0,216.8
Oregon,2018,23.0,190.4
Pennsylvania,2018,35.0,200.3
Rhode Island,2018,28.0,193.5
South Carolina,2018,37.0,202.0
South Dakota,2018,20.0,188.0
Tennessee,2018,46.0,217.7
Texas,2018,11.0,180.5
Utah,2018,1.0,150.4
Vermont,2018,29.0,193.9
Virginia,2018,24.0,190.7
Washington,2018,18.0,184.3
West Virginia,2018,49.0,227.4
Wisconsin,2018,25.0,191.1
Wyoming,2018,5.0,168.8
District of Columbia,2018,0.0,203.2
United States,2018,0.0,189.8
