State,Year,Diabetes_Rank,Diabetes_Value
Alabama,2018,48.0,14.1
Alaska,2018,2.0,7.4
Arizona,2018,19.0,10.4
Arkansas,2018,42.0,12.2
California,2018,23.0,10.5
Colorado,2018,2.0,7.4
Connecticut,2018,17.0,9.8
Delaware,2018,36.0,11.3
Florida,2018,23.0,10.5
Georgia,2018,38.0,11.4
Hawaii,2018,31.0,10.9
Idaho,2018,8.0,8.7
Illinois,2018,32.0,11.0
Indiana,2018,40.0,11.8
Iowa,2018,15.0,9.6
Kansas,2018,23.0,10.5
Kentucky,2018,44.0,12.9
Louisiana,2018,47.0,13.6
Maine,2018,29.0,10.7
Maryland,2018,19.0,10.4
Massachusetts,2018,14.0,9.5
Michigan,2018,32.0,11.0
Minnesota,2018,4.0,7.8
Mississippi,2018,49.0,14.2
Missouri,2018,19.0,10.4
Montana,2018,5.0,7.9
Nebraska,2018,18.0,10.1
Nevada,2018,19.0,10.4
New Hampshire,2018,7.0,8.4
New Jersey,2018,32.0,11.0
New Mexico,2018,29.0,10.7
New York,2018,23.0,10.5
North Carolina,2018,38.0,11.4
North Dakota,2018,10.0,9.0
Ohio,2018,36.0,11.3
Oklahoma,2018,43.0,12.7
Oregon,2018,15.0,9.6
Pennsylvania,2018,28.0,10.6
Rhode Island,2018,9.0,8.9
South Carolina,2018,46.0,13.4
South Dakota,2018,35.0,11.1
Tennessee,2018,45.0,13.1
Texas,2018,41.0,11.9
Utah,2018,1.0,7.1
Vermont,2018,6.0,8.2
Virginia,2018,23.0,10.5
Washington,2018,12.0,9.1
West Virginia,2018,50.0,15.2
Wisconsin,2018,12.0,9.1
Wyoming,2018,10.0,9.0
United States,2018,0.0,10.5
District of Columbia,2018,0.0,7.8
