State,Year,Disparity_in_Health_Status_Rank,Disparity_in_Health_Status_Value
Alabama,2019,33.0,28.0
Alaska,2019,16.0,23.5
Arizona,2019,31.0,27.1
Arkansas,2019,10.0,21.6
California,2019,47.0,31.8
Colorado,2019,50.0,37.6
Connecticut,2019,41.0,30.7
Delaware,2019,20.0,25.0
Florida,2019,32.0,27.2
Georgia,2019,30.0,26.8
Hawaii,2019,1.0,14.5
Idaho,2019,13.0,22.0
Illinois,2019,35.0,28.6
Indiana,2019,14.0,22.9
Iowa,2019,40.0,30.5
Kansas,2019,10.0,21.6
Kentucky,2019,12.0,21.9
Louisiana,2019,4.0,18.3
Maine,2019,34.0,28.3
Maryland,2019,49.0,32.9
Massachusetts,2019,39.0,29.2
Michigan,2019,6.0,18.9
Minnesota,2019,29.0,26.7
Mississippi,2019,5.0,18.8
Missouri,2019,25.0,26.3
Montana,2019,9.0,20.8
Nebraska,2019,48.0,32.5
Nevada,2019,19.0,23.8
New Hampshire,2019,42.0,30.9
New Jersey,2019,17.0,23.7
New Mexico,2019,28.0,26.5
New York,2019,35.0,28.6
North Carolina,2019,46.0,31.7
North Dakota,2019,22.0,25.3
Ohio,2019,15.0,23.3
Oklahoma,2019,38.0,29.0
Oregon,2019,37.0,28.8
Pennsylvania,2019,8.0,20.6
Rhode Island,2019,44.0,31.5
South Carolina,2019,26.0,26.4
South Dakota,2019,2.0,16.8
Tennessee,2019,23.0,26.0
Texas,2019,21.0,25.2
Utah,2019,44.0,31.5
Vermont,2019,3.0,17.4
Virginia,2019,24.0,26.2
Washington,2019,43.0,31.1
West Virginia,2019,26.0,26.4
Wisconsin,2019,17.0,23.7
Wyoming,2019,7.0,19.6
United States,2019,0.0,27.6
District of Columbia,2019,0.0,27.5
