State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
AR,Arkansas,08/01/2018,Y,U,Y,21955,,N/A,,21955,,11615,,392,,12007,,436643,,892517,,34.9513,-92.3809,808583,,83934,
VA,Virginia,08/01/2018,Y,U,Y,23116,Includes Renewals and/or Redeterminations,N/A,,23116,Includes Renewals and/or Redeterminations,19305,Includes Renewals and/or Redeterminations,927,Includes Renewals and/or Redeterminations,20232,Includes Renewals and/or Redeterminations,697352,,1046885,,35.7449,-86.7489,908048,,138837,
IA,Iowa,08/01/2018,Y,U,Y,15430,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,15430,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,1029,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,1029,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,333670,,687610,,21.1098,-157.5311,616917,,70693,
PA,Pennsylvania,08/01/2018,Y,U,Y,96596,Includes Renewals and/or Redeterminations,N/A,,96596,Includes Renewals and/or Redeterminations,91865,Includes Renewals and/or Redeterminations,9984,,101849,Includes Renewals and/or Redeterminations,1405402,,2983522,,35.5376,-96.9247,2804928,,178594,
GA,Georgia,08/01/2018,N,U,Y,53171,,N/A,,53171,,36735,,1199,,37934,,1239005,,1815109,,27.8333,-81.717,1605541,,209568,
NM,New Mexico,08/01/2018,Y,U,Y,13918,,N/A,,13918,,21895,,1714,,23609,,331428,,727487,,43.4108,-71.5653,691336,,36151,
ND,North Dakota,08/01/2018,Y,U,Y,2451,,N/A,,2451,,2071,,55,,2126,,44635,,95077,,46.9048,-110.3261,92996,,2081,
TX,Texas,08/01/2018,N,U,Y,140678,,N/A,,140678,,97483,,15189,,112672,,3444386,,4362456,,33.8191,-80.9066,3745909,,616547,
NH,New Hampshire,08/01/2018,Y,U,Y,8345,,N/A,,8345,,5047,,468,,5515,,91367,,185159,,47.5362,-99.793,170585,,14574,
TN,Tennessee,08/01/2018,N,U,Y,560,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,N/A,,560,Does Not Include All Medicaid Applications,,Does Not Include All Medicaid Determinations Made At Application,486,,486,Does Not Include All Medicaid Determinations Made At Application,,,1384347,,41.6772,-71.5101,1331629,,52718,
