State,Medicaid_Expanded,Total_Enrollment,All_Determinants_Rank,All_Determinants_Value,Cancer_Deaths_Rank,Cancer_Deaths_Value,Cardiovascular_Deaths_Rank,Cardiovascular_Deaths_Value,Cholesterol_Check_Rank,Cholesterol_Check_Value,Dedicated_Health_Provider_Rank,Dedicated_Health_Provider_Value,Diabetes_Rank,Diabetes_Value,Disparity_in_Health_Status_Rank,Disparity_in_Health_Status_Value,Drug_Deaths_Rank,Drug_Deaths_Value,High_Blood_Pressure_Rank,High_Blood_Pressure_Value,High_Cholesterol_Rank,High_Cholesterol_Value,Immunizations_Children_Rank,Immunizations_Children_Value,Infant_Mortality_Rank,Infant_Mortality_Value,Obesity_Rank,Obesity_Value,Premature_Death_Rank,Premature_Death_Value,Primary_Care_Physicians_Rank,Primary_Care_Physicians_Value,Underemployment_Rate_Rank,Underemployment_Rate_Value,Unemployment_Rate_Rank,Unemployment_Rate_Value,Uninsured_Rank,Uninsured_Value,Year
Arizona,Y,1496616.0,28,-0.008,5,170.2,10,216.1,45,72.6,47,68.2,35,10.7,48,36.6,44,17.7,18,30.7,35,39.7,45,65.1,20,5.9,17,26.8,26,7124.0,43,98.4,48,16.0,40,8.0,42,17.3,2014
Arkansas,Y,824682.0,49,-0.655,46,214.9,47,313.7,46,72.3,26,77.1,44,11.5,9,24.2,24,12.6,44,38.7,46,42.4,50,57.1,39,7.2,48,34.6,47,9656.0,39,102.6,30,13.7,34,7.5,36,16.2,2014
California,Y,11919314.0,17,0.294,6,171.0,23,234.4,29,75.2,43,71.2,30,10.2,50,38.6,12,11.0,5,28.7,20,37.7,28,69.3,4,4.6,4,24.1,4,5590.0,22,122.2,51,17.3,49,8.9,43,17.5,2014
Colorado,Y,1183251.0,11,0.35,3,163.0,2,197.1,25,76.4,28,76.5,1,6.5,47,36.5,34,14.8,2,26.3,3,34.8,29,69.2,12,5.1,1,21.3,11,5991.0,24,120.7,21,12.5,26,6.8,32,14.4,2014
Connecticut,Y,760584.0,4,0.56,9,177.0,11,216.5,2,83.1,8,84.8,8,8.3,36,30.7,12,11.0,23,31.3,22,37.8,5,78.2,12,5.1,8,24.9,5,5603.0,6,166.7,35,13.9,39,7.8,8,9.3,2014
Delaware,Y,235047.0,33,-0.126,37,201.9,29,246.9,9,81.0,5,85.9,41,11.1,25,28.8,39,16.6,41,35.6,39,40.6,21,71.8,47,8.2,37,31.0,37,7729.0,30,112.8,28,13.5,23,6.7,6,9.0,2014
Hawaii,Y,308567.0,3,0.5670000000000001,2,155.3,3,199.1,27,75.8,7,85.1,9,8.4,1,15.5,18,11.7,4,28.5,4,34.9,40,66.5,12,5.1,2,21.8,9,5865.0,9,140.2,13,11.5,8,4.8,2,6.8,2014
Illinois,Y,3126814.0,30,-0.066,34,197.9,32,253.9,35,74.0,17,80.0,28,9.9,32,30.4,15,11.1,13,30.1,11,36.6,38,66.8,29,6.5,25,29.4,21,6721.0,11,133.9,48,16.0,50,9.2,22,12.8,2014
Indiana,Y,1216683.0,39,-0.257,42,208.2,39,274.4,31,74.5,16,80.4,39,11.0,13,25.7,35,15.1,33,33.5,37,39.8,33,68.5,39,7.2,42,31.8,39,7993.0,37,104.2,25,13.2,34,7.5,28,14.1,2014
Iowa,Y,572104.0,25,0.07400000000000001,27,191.8,26,245.4,28,75.7,15,80.6,20,9.3,30,30.3,5,8.5,25,31.4,43,41.1,4,78.3,9,5.0,39,31.3,16,6309.0,46,85.7,5,9.2,6,4.6,5,8.3,2014
