State,Medicaid_Expanded,Total_Enrollment,Month,Year
Alaska,Y,176799,Dec,2016
Arizona,Y,1739041,Dec,2016
Arkansas,Y,948181,Dec,2016
California,Y,12405352,Dec,2016
Colorado,Y,1387165,Dec,2016
Connecticut,Y,761310,Dec,2016
Delaware,Y,241664,Dec,2016
District of Columbia,Y,264849,Dec,2016
Hawaii,Y,345975,Dec,2016
Illinois,Y,3065331,Dec,2016
Indiana,Y,1508219,Dec,2016
Iowa,Y,622071,Dec,2016
Kentucky,Y,1230475,Dec,2016
Louisiana,Y,1415385,Dec,2016
Maryland,Y,1281890,Dec,2016
Massachusetts,Y,1655529,Dec,2016
Michigan,Y,2330154,Dec,2016
Minnesota,Y,1049566,Dec,2016
Montana,Y,245360,Dec,2016
Nevada,Y,623574,Dec,2016
New Hampshire,Y,191363,Dec,2016
New Jersey,Y,1795251,Dec,2016
New Mexico,Y,775020,Dec,2016
New York,Y,6420227,Dec,2016
North Dakota,Y,94681,Dec,2016
Ohio,Y,2910351,Dec,2016
Oregon,Y,986111,Dec,2016
Pennsylvania,Y,2918260,Dec,2016
Rhode Island,Y,298148,Dec,2016
Vermont,Y,169092,Dec,2016
Washington,Y,1818225,Dec,2016
West Virginia,Y,567064,Dec,2016
Alabama,N,892753,Dec,2016
Florida,N,4337514,Dec,2016
Georgia,N,1755450,Dec,2016
Idaho,N,299841,Dec,2016
Kansas,N,408885,Dec,2016
Maine,N,269428,Dec,2016
Mississippi,N,684094,Dec,2016
Missouri,N,976256,Dec,2016
Nebraska,N,243657,Dec,2016
North Carolina,N,2083547,Dec,2016
Oklahoma,N,804355,Dec,2016
South Carolina,N,996551,Dec,2016
South Dakota,N,119956,Dec,2016
Tennessee,N,1636770,Dec,2016
Texas,N,4799893,Dec,2016
Utah,N,311117,Dec,2016
Virginia,N,993220,Dec,2016
Wisconsin,N,1037863,Dec,2016
Wyoming,N,61925,Dec,2016
