State,Year,Cancer_Deaths_Rank,Cancer_Deaths_Value
Alabama,2014,43,211.5
Alaska,2014,27,191.8
Arizona,2014,5,170.2
Arkansas,2014,46,214.9
California,2014,6,171.0
Colorado,2014,3,163.0
Connecticut,2014,9,177.0
Delaware,2014,37,201.9
Florida,2014,15,182.7
Georgia,2014,29,192.3
Hawaii,2014,2,155.3
Idaho,2014,8,174.6
Illinois,2014,34,197.9
Indiana,2014,42,208.2
Iowa,2014,27,191.8
Kansas,2014,25,190.9
Kentucky,2014,50,228.3
Louisiana,2014,47,217.4
Maine,2014,40,205.4
Maryland,2014,20,187.7
Massachusetts,2014,19,186.8
Michigan,2014,35,199.7
Minnesota,2014,13,180.9
Mississippi,2014,49,223.7
Missouri,2014,39,204.8
Montana,2014,11,179.8
Nebraska,2014,16,184.7
Nevada,2014,22,188.0
New Hampshire,2014,26,191.6
New Jersey,2014,18,185.5
New Mexico,2014,4,167.1
New York,2014,10,179.7
North Carolina,2014,33,196.2
North Dakota,2014,7,173.7
Ohio,2014,41,207.7
Oklahoma,2014,45,214.1
Oregon,2014,30,192.4
Pennsylvania,2014,36,200.3
Rhode Island,2014,24,189.9
South Carolina,2014,38,203.5
South Dakota,2014,21,187.9
Tennessee,2014,44,213.5
Texas,2014,14,182.5
Utah,2014,1,145.7
Vermont,2014,32,195.6
Virginia,2014,23,189.5
Washington,2014,16,184.7
West Virginia,2014,48,220.5
Wisconsin,2014,31,193.2
Wyoming,2014,12,180.2
District of Columbia,2014,0,201.4
United States,2014,0,189.9
