State,Year,Disparity_in_Health_Status_Rank,Disparity_in_Health_Status_Value
Alabama,2014,3,19.4
Alaska,2014,13,25.7
Arizona,2014,48,36.6
Arkansas,2014,9,24.2
California,2014,50,38.6
Colorado,2014,47,36.5
Connecticut,2014,36,30.7
Delaware,2014,25,28.8
Florida,2014,27,29.1
Georgia,2014,22,28.0
Hawaii,2014,1,15.5
Idaho,2014,41,32.7
Illinois,2014,32,30.4
Indiana,2014,13,25.7
Iowa,2014,30,30.3
Kansas,2014,24,28.6
Kentucky,2014,10,24.7
Louisiana,2014,16,26.5
Maine,2014,15,26.1
Maryland,2014,34,30.5
Massachusetts,2014,42,33.9
Michigan,2014,29,29.7
Minnesota,2014,11,25.3
Mississippi,2014,2,18.0
Missouri,2014,5,20.5
Montana,2014,18,26.8
Nebraska,2014,46,36.1
Nevada,2014,20,27.4
New Hampshire,2014,21,27.7
New Jersey,2014,35,30.6
New Mexico,2014,40,32.4
New York,2014,45,35.3
North Carolina,2014,43,34.3
North Dakota,2014,4,19.9
Ohio,2014,12,25.4
Oklahoma,2014,38,32.1
Oregon,2014,25,28.8
Pennsylvania,2014,8,23.8
Rhode Island,2014,19,27.2
South Carolina,2014,32,30.4
South Dakota,2014,6,23.4
Tennessee,2014,38,32.1
Texas,2014,23,28.3
Utah,2014,16,26.5
Vermont,2014,44,35.0
Virginia,2014,27,29.1
Washington,2014,49,37.5
West Virginia,2014,6,23.4
Wisconsin,2014,37,30.9
Wyoming,2014,30,30.3
United States,2014,0,31.4
District of Columbia,2014,0,28.4
