State,Year,Diabetes_Rank,Diabetes_Value
Alabama,2015,47.0,12.9
Alaska,2015,3.0,7.4
Arizona,2015,25.0,10.0
Arkansas,2015,46.0,12.7
California,2015,29.0,10.3
Colorado,2015,2.0,7.3
Connecticut,2015,15.0,9.2
Delaware,2015,35.0,11.1
Florida,2015,37.0,11.2
Georgia,2015,41.0,11.6
Hawaii,2015,24.0,9.8
Idaho,2015,4.0,7.6
Illinois,2015,27.0,10.1
Indiana,2015,32.0,10.7
Iowa,2015,18.0,9.5
Kansas,2015,29.0,10.3
Kentucky,2015,45.0,12.5
Louisiana,2015,39.0,11.3
Maine,2015,18.0,9.5
Maryland,2015,27.0,10.1
Massachusetts,2015,21.0,9.7
Michigan,2015,31.0,10.4
Minnesota,2015,6.0,8.1
Mississippi,2015,48.0,13.0
Missouri,2015,35.0,11.1
Montana,2015,9.0,8.8
Nebraska,2015,15.0,9.2
Nevada,2015,20.0,9.6
New Hampshire,2015,13.0,9.1
New Jersey,2015,21.0,9.7
New Mexico,2015,40.0,11.5
New York,2015,25.0,10.0
North Carolina,2015,33.0,10.8
North Dakota,2015,8.0,8.6
Ohio,2015,42.0,11.7
Oklahoma,2015,43.0,12.0
Oregon,2015,11.0,9.0
Pennsylvania,2015,37.0,11.2
Rhode Island,2015,17.0,9.4
South Carolina,2015,43.0,12.0
South Dakota,2015,13.0,9.1
Tennessee,2015,48.0,13.0
Texas,2015,34.0,11.0
Utah,2015,1.0,7.1
Vermont,2015,5.0,7.9
Virginia,2015,21.0,9.7
Washington,2015,10.0,8.9
West Virginia,2015,50.0,14.1
Wisconsin,2015,11.0,9.0
Wyoming,2015,7.0,8.4
United States,2015,0.0,10.0
District of Columbia,2015,0.0,8.4
