State,Year,Drug_Deaths_Rank,Drug_Deaths_Value
Alabama,2015,16.0,12.0
Alaska,2015,34.0,15.3
Arizona,2015,41.0,18.1
Arkansas,2015,17.0,12.1
California,2015,12.0,11.3
Colorado,2015,35.0,15.8
Connecticut,2015,23.0,13.1
Delaware,2015,39.0,17.2
Florida,2015,29.0,13.9
Georgia,2015,10.0,10.8
Hawaii,2015,13.0,11.8
Idaho,2015,19.0,12.8
Illinois,2015,14.0,11.9
Indiana,2015,35.0,15.8
Iowa,2015,4.0,8.7
Kansas,2015,11.0,11.1
Kentucky,2015,48.0,24.0
Louisiana,2015,31.0,14.4
Maine,2015,14.0,11.9
Maryland,2015,26.0,13.4
Massachusetts,2015,28.0,13.7
Michigan,2015,32.0,14.5
Minnesota,2015,5.0,9.4
Mississippi,2015,9.0,10.7
Missouri,2015,37.0,16.4
Montana,2015,26.0,13.4
Nebraska,2015,3.0,7.3
Nevada,2015,47.0,22.4
New Hampshire,2015,32.0,14.5
New Jersey,2015,23.0,13.1
New Mexico,2015,49.0,24.4
New York,2015,8.0,10.6
North Carolina,2015,21.0,13.0
North Dakota,2015,1.0,2.7
Ohio,2015,43.0,18.9
Oklahoma,2015,45.0,20.3
Oregon,2015,18.0,12.5
Pennsylvania,2015,42.0,18.7
Rhode Island,2015,44.0,19.6
South Carolina,2015,21.0,13.0
South Dakota,2015,2.0,6.4
Tennessee,2015,40.0,17.6
Texas,2015,7.0,9.8
Utah,2015,46.0,21.9
Vermont,2015,20.0,12.9
Virginia,2015,6.0,9.5
Washington,2015,30.0,14.1
West Virginia,2015,50.0,32.4
Wisconsin,2015,23.0,13.1
Wyoming,2015,37.0,16.4
United States,2015,0.0,13.5
District of Columbia,2015,0.0,14.9
