State,Year,Premature_Death_Rank,Premature_Death_Value
Alabama,2015,48.0,10095.0
Alaska,2015,36.0,7758.0
Arizona,2015,28.0,7164.0
Arkansas,2015,45.0,9586.0
California,2015,4.0,5609.0
Colorado,2015,10.0,5982.0
Connecticut,2015,3.0,5573.0
Delaware,2015,32.0,7509.0
Florida,2015,24.0,7059.0
Georgia,2015,37.0,7880.0
Hawaii,2015,11.0,6047.0
Idaho,2015,21.0,6747.0
Illinois,2015,19.0,6555.0
Indiana,2015,40.0,8129.0
Iowa,2015,14.0,6252.0
Kansas,2015,27.0,7110.0
Kentucky,2015,44.0,9110.0
Louisiana,2015,47.0,9957.0
Maine,2015,20.0,6729.0
Maryland,2015,22.0,6780.0
Massachusetts,2015,2.0,5468.0
Michigan,2015,34.0,7618.0
Minnesota,2015,1.0,5414.0
Mississippi,2015,50.0,10744.0
Missouri,2015,39.0,8117.0
Montana,2015,35.0,7673.0
Nebraska,2015,12.0,6125.0
Nevada,2015,31.0,7497.0
New Hampshire,2015,6.0,5809.0
New Jersey,2015,7.0,5819.0
New Mexico,2015,41.0,8190.0
New York,2015,5.0,5714.0
North Carolina,2015,33.0,7604.0
North Dakota,2015,26.0,7098.0
Ohio,2015,38.0,7991.0
Oklahoma,2015,46.0,9799.0
Oregon,2015,16.0,6319.0
Pennsylvania,2015,29.0,7204.0
Rhode Island,2015,15.0,6308.0
South Carolina,2015,42.0,8592.0
South Dakota,2015,23.0,6913.0
Tennessee,2015,43.0,9088.0
Texas,2015,25.0,7084.0
Utah,2015,13.0,6157.0
Vermont,2015,9.0,5958.0
Virginia,2015,18.0,6435.0
Washington,2015,8.0,5835.0
West Virginia,2015,49.0,10129.0
Wisconsin,2015,17.0,6365.0
Wyoming,2015,30.0,7320.0
United States,2015,0.0,6997.0
District of Columbia,2015,0.0,8026.0
