State,Year,Cardiovascular_Deaths_Rank,Cardiovascular_Deaths_Value
Alabama,2016,49.0,332.9
Alaska,2016,9.0,214.1
Arizona,2016,7.0,213.7
Arkansas,2016,47.0,317.3
California,2016,19.0,229.9
Colorado,2016,2.0,199.3
Connecticut,2016,10.0,217.2
Delaware,2016,28.0,247.5
Florida,2016,13.0,224.8
Georgia,2016,36.0,272.9
Hawaii,2016,4.0,206.6
Idaho,2016,18.0,229.2
Illinois,2016,32.0,253.8
Indiana,2016,38.0,277.1
Iowa,2016,27.0,245.9
Kansas,2016,29.0,249.6
Kentucky,2016,43.0,297.8
Louisiana,2016,46.0,312.5
Maine,2016,12.0,220.8
Maryland,2016,31.0,252.5
Massachusetts,2016,3.0,205.6
Michigan,2016,42.0,288.7
Minnesota,2016,1.0,188.2
Mississippi,2016,50.0,344.8
Missouri,2016,41.0,283.6
Montana,2016,17.0,227.3
Nebraska,2016,16.0,227.0
Nevada,2016,39.0,277.8
New Hampshire,2016,8.0,213.9
New Jersey,2016,26.0,245.4
New Mexico,2016,11.0,217.5
New York,2016,33.0,256.2
North Carolina,2016,30.0,251.9
North Dakota,2016,21.0,231.4
Ohio,2016,40.0,278.7
Oklahoma,2016,48.0,325.9
Oregon,2016,5.0,212.4
Pennsylvania,2016,35.0,259.3
Rhode Island,2016,20.0,230.4
South Carolina,2016,37.0,274.1
South Dakota,2016,22.0,233.8
Tennessee,2016,45.0,302.7
Texas,2016,34.0,256.9
Utah,2016,14.0,225.0
Vermont,2016,15.0,226.9
Virginia,2016,25.0,239.0
Washington,2016,6.0,213.3
West Virginia,2016,44.0,297.9
Wisconsin,2016,24.0,236.8
Wyoming,2016,23.0,234.4
District of Columbia,2016,0.0,299.4
United States,2016,0.0,251.7
