State,Year,High_Blood_Pressure_Rank,High_Blood_Pressure_Value
Alabama,2016,48.0,40.4
Alaska,2016,4.0,27.5
Arizona,2016,23.0,30.8
Arkansas,2016,46.0,39.3
California,2016,6.0,28.5
Colorado,2016,2.0,25.7
Connecticut,2016,20.0,30.4
Delaware,2016,39.0,34.5
Florida,2016,35.0,33.5
Georgia,2016,41.0,36.2
Hawaii,2016,28.0,32.0
Idaho,2016,26.0,31.2
Illinois,2016,23.0,30.8
Indiana,2016,29.0,32.4
Iowa,2016,22.0,30.6
Kansas,2016,27.0,31.6
Kentucky,2016,45.0,39.0
Louisiana,2016,46.0,39.3
Maine,2016,36.0,34.1
Maryland,2016,31.0,32.5
Massachusetts,2016,12.0,29.6
Michigan,2016,33.0,33.1
Minnesota,2016,3.0,26.3
Mississippi,2016,49.0,42.4
Missouri,2016,36.0,34.1
Montana,2016,7.0,29.1
Nebraska,2016,15.0,29.9
Nevada,2016,5.0,28.3
New Hampshire,2016,8.0,29.2
New Jersey,2016,25.0,30.9
New Mexico,2016,18.0,30.0
New York,2016,9.0,29.3
North Carolina,2016,40.0,35.2
North Dakota,2016,20.0,30.4
Ohio,2016,38.0,34.3
Oklahoma,2016,41.0,36.2
Oregon,2016,19.0,30.1
Pennsylvania,2016,31.0,32.5
Rhode Island,2016,29.0,32.4
South Carolina,2016,43.0,37.8
South Dakota,2016,15.0,29.9
Tennessee,2016,44.0,38.5
Texas,2016,11.0,29.5
Utah,2016,1.0,23.6
Vermont,2016,10.0,29.4
Virginia,2016,34.0,33.2
Washington,2016,14.0,29.7
West Virginia,2016,50.0,42.7
Wisconsin,2016,12.0,29.6
Wyoming,2016,15.0,29.9
United States,2016,0.0,30.9
District of Columbia,2016,0.0,29.4
