State,Year,High_Cholesterol_Rank,High_Cholesterol_Value
Alabama,2016,50.0,42.0
Alaska,2016,6.0,33.9
Arizona,2016,33.0,37.3
Arkansas,2016,49.0,41.3
California,2016,8.0,34.2
Colorado,2016,1.0,31.5
Connecticut,2016,34.0,37.4
Delaware,2016,44.0,39.1
Florida,2016,37.0,38.0
Georgia,2016,25.0,36.3
Hawaii,2016,25.0,36.3
Idaho,2016,36.0,37.6
Illinois,2016,19.0,36.0
Indiana,2016,44.0,39.1
Iowa,2016,20.0,36.1
Kansas,2016,34.0,37.4
Kentucky,2016,48.0,40.7
Louisiana,2016,46.0,39.2
Maine,2016,40.0,38.5
Maryland,2016,18.0,35.9
Massachusetts,2016,10.0,34.5
Michigan,2016,39.0,38.2
Minnesota,2016,3.0,32.3
Mississippi,2016,41.0,38.7
Missouri,2016,32.0,37.1
Montana,2016,4.0,33.1
Nebraska,2016,13.0,35.1
Nevada,2016,28.0,36.7
New Hampshire,2016,17.0,35.7
New Jersey,2016,15.0,35.4
New Mexico,2016,9.0,34.3
New York,2016,27.0,36.6
North Carolina,2016,31.0,37.0
North Dakota,2016,11.0,35.0
Ohio,2016,28.0,36.7
Oklahoma,2016,37.0,38.0
Oregon,2016,30.0,36.8
Pennsylvania,2016,23.0,36.2
Rhode Island,2016,14.0,35.2
South Carolina,2016,42.0,38.9
South Dakota,2016,5.0,33.3
Tennessee,2016,47.0,40.0
Texas,2016,20.0,36.1
Utah,2016,2.0,32.2
Vermont,2016,7.0,34.0
Virginia,2016,16.0,35.6
Washington,2016,23.0,36.2
West Virginia,2016,43.0,39.0
Wisconsin,2016,20.0,36.1
Wyoming,2016,11.0,35.0
United States,2016,0.0,36.3
District of Columbia,2016,0.0,31.3
