State,Year,Infant_Mortality_Rank,Infant_Mortality_Value
Alabama,2016,49.0,8.6
Alaska,2016,27.0,6.1
Arizona,2016,23.0,5.7
Arkansas,2016,47.0,7.6
California,2016,3.0,4.5
Colorado,2016,9.0,4.9
Connecticut,2016,7.0,4.8
Delaware,2016,34.0,6.5
Florida,2016,27.0,6.1
Georgia,2016,44.0,7.2
Hawaii,2016,16.0,5.5
Idaho,2016,16.0,5.5
Illinois,2016,30.0,6.3
Indiana,2016,42.0,7.1
Iowa,2016,3.0,4.5
Kansas,2016,33.0,6.4
Kentucky,2016,36.0,6.7
Louisiana,2016,48.0,8.1
Maine,2016,39.0,6.9
Maryland,2016,34.0,6.5
Massachusetts,2016,1.0,4.3
Michigan,2016,38.0,6.8
Minnesota,2016,10.0,5.0
Mississippi,2016,50.0,8.9
Missouri,2016,30.0,6.3
Montana,2016,21.0,5.6
Nebraska,2016,14.0,5.2
Nevada,2016,16.0,5.5
New Hampshire,2016,10.0,5.0
New Jersey,2016,2.0,4.4
New Mexico,2016,15.0,5.4
New York,2016,7.0,4.8
North Carolina,2016,41.0,7.0
North Dakota,2016,21.0,5.6
Ohio,2016,42.0,7.1
Oklahoma,2016,46.0,7.5
Oregon,2016,10.0,5.0
Pennsylvania,2016,30.0,6.3
Rhode Island,2016,16.0,5.5
South Carolina,2016,36.0,6.7
South Dakota,2016,29.0,6.2
Tennessee,2016,39.0,6.9
Texas,2016,24.0,5.8
Utah,2016,10.0,5.0
Vermont,2016,3.0,4.5
Virginia,2016,25.0,6.0
Washington,2016,3.0,4.5
West Virginia,2016,45.0,7.3
Wisconsin,2016,25.0,6.0
Wyoming,2016,16.0,5.5
United States,2016,0.0,5.9
District of Columbia,2016,0.0,7.0
