State,Year,Obesity_Rank,Obesity_Value
Alabama,2016,47.0,35.6
Alaska,2016,24.0,29.8
Arizona,2016,17.0,28.4
Arkansas,2016,45.0,34.5
California,2016,4.0,24.2
Colorado,2016,1.0,20.2
Connecticut,2016,9.0,25.3
Delaware,2016,23.0,29.7
Florida,2016,16.0,26.8
Georgia,2016,31.0,30.7
Hawaii,2016,2.0,22.7
Idaho,2016,18.0,28.6
Illinois,2016,33.0,30.8
Indiana,2016,36.0,31.3
Iowa,2016,39.0,32.1
Kansas,2016,44.0,34.2
Kentucky,2016,46.0,34.6
Louisiana,2016,50.0,36.2
Maine,2016,26.0,30.0
Maryland,2016,20.0,28.9
Massachusetts,2016,5.0,24.3
Michigan,2016,35.0,31.2
Minnesota,2016,12.0,26.1
Mississippi,2016,47.0,35.6
Missouri,2016,40.0,32.4
Montana,2016,3.0,23.6
Nebraska,2016,37.0,31.4
Nevada,2016,15.0,26.7
New Hampshire,2016,13.0,26.3
New Jersey,2016,10.0,25.6
New Mexico,2016,19.0,28.8
New York,2016,7.0,25.0
North Carolina,2016,28.0,30.1
North Dakota,2016,34.0,31.0
Ohio,2016,24.0,29.8
Oklahoma,2016,43.0,33.9
Oregon,2016,28.0,30.1
Pennsylvania,2016,26.0,30.0
Rhode Island,2016,11.0,26.0
South Carolina,2016,38.0,31.7
South Dakota,2016,30.0,30.4
Tennessee,2016,42.0,33.8
Texas,2016,40.0,32.4
Utah,2016,6.0,24.5
Vermont,2016,8.0,25.1
Virginia,2016,22.0,29.2
Washington,2016,14.0,26.4
West Virginia,2016,47.0,35.6
Wisconsin,2016,31.0,30.7
Wyoming,2016,21.0,29.0
United States,2016,0.0,29.8
District of Columbia,2016,0.0,22.1
