State,Year,Dedicated_Health_Provider_Rank,Dedicated_Health_Provider_Value
Mississippi,2017,31.0,77.4
Missouri,2017,28.0,77.9
Montana,2017,39.0,73.6
Nebraska,2017,19.0,80.9
Nevada,2017,47.0,69.2
New Hampshire,2017,4.0,87.9
New Jersey,2017,16.0,82.3
New Mexico,2017,46.0,70.1
New York,2017,11.0,83.4
North Carolina,2017,23.0,78.8
North Dakota,2017,38.0,73.9
Ohio,2017,15.0,82.7
Oklahoma,2017,36.0,75.3
Oregon,2017,25.0,78.6
Pennsylvania,2017,6.0,85.8
Rhode Island,2017,5.0,87.2
South Carolina,2017,26.0,78.4
South Dakota,2017,32.0,76.0
Tennessee,2017,27.0,78.0
Texas,2017,48.0,68.9
Utah,2017,41.0,72.7
Vermont,2017,3.0,88.0
Virginia,2017,28.0,77.9
Washington,2017,34.0,75.7
West Virginia,2017,20.0,80.5
Wisconsin,2017,14.0,82.9
Wyoming,2017,48.0,68.9
United States,2017,0.0,78.4
District of Columbia,2017,0.0,75.4
Alabama,2017,24.0,78.7
Alaska,2017,50.0,67.8
Arizona,2017,40.0,73.3
Arkansas,2017,21.0,80.3
California,2017,32.0,76.0
Colorado,2017,37.0,74.4
Connecticut,2017,7.0,85.2
Delaware,2017,13.0,83.2
Florida,2017,45.0,72.0
Georgia,2017,41.0,72.7
Hawaii,2017,10.0,84.7
Idaho,2017,44.0,72.3
Illinois,2017,17.0,82.1
Indiana,2017,18.0,81.7
Iowa,2017,11.0,83.4
Kansas,2017,30.0,77.6
Kentucky,2017,22.0,79.6
Louisiana,2017,35.0,75.4
Maine,2017,2.0,88.1
Maryland,2017,9.0,84.8
Massachusetts,2017,1.0,88.9
Michigan,2017,7.0,85.2
Minnesota,2017,41.0,72.7
