State,Year,Underemployment_Rate_Rank,Underemployment_Rate_Value
Alaska,2017,50.0,12.8
Alabama,2017,38.0,10.4
United States,2017,0.0,9.6
Arkansas,2017,8.0,7.5
Arizona,2017,42.0,10.8
California,2017,47.0,11.3
Colorado,2017,7.0,7.3
Connecticut,2017,42.0,10.8
District of Columbia,2017,0.0,9.5
Delaware,2017,18.0,8.3
Florida,2017,34.0,10.3
Georgia,2017,39.0,10.5
Hawaii,2017,8.0,7.5
Iowa,2017,6.0,7.2
Idaho,2017,12.0,7.8
Illinois,2017,45.0,11.0
Indiana,2017,18.0,8.3
Kansas,2017,17.0,8.2
Kentucky,2017,28.0,9.7
Louisiana,2017,41.0,10.7
Massachusetts,2017,15.0,8.1
Maryland,2017,15.0,8.1
Maine,2017,22.0,8.7
Michigan,2017,34.0,10.3
Minnesota,2017,11.0,7.7
Missouri,2017,12.0,7.8
Mississippi,2017,44.0,10.9
Montana,2017,20.0,8.5
North Carolina,2017,25.0,9.4
North Dakota,2017,2.0,6.2
Nebraska,2017,2.0,6.2
New Hampshire,2017,4.0,6.4
New Jersey,2017,28.0,9.7
New Mexico,2017,49.0,12.6
Nevada,2017,48.0,12.2
New York,2017,25.0,9.4
Ohio,2017,28.0,9.7
Oklahoma,2017,24.0,9.2
Oregon,2017,34.0,10.3
Pennsylvania,2017,40.0,10.6
Rhode Island,2017,32.0,10.1
South Carolina,2017,28.0,9.7
South Dakota,2017,1.0,5.2
Tennessee,2017,25.0,9.4
Texas,2017,21.0,8.6
Utah,2017,8.0,7.5
Virginia,2017,23.0,9.1
Vermont,2017,5.0,7.1
Washington,2017,34.0,10.3
Wisconsin,2017,14.0,7.9
West Virginia,2017,45.0,11.0
Wyoming,2017,32.0,10.1
