State,Year,Primary_Care_Physicians_Rank,Primary_Care_Physicians_Value
Alaska,2018,29.0,139.0
Alabama,2018,41.0,122.8
United States,2018,0.0,156.7
Arkansas,2018,43.0,120.9
Arizona,2018,38.0,126.1
California,2018,30.0,138.3
Colorado,2018,27.0,141.3
Connecticut,2018,4.0,216.3
District of Columbia,2018,0.0,455.9
Delaware,2018,18.0,161.4
Florida,2018,34.0,131.3
Georgia,2018,42.0,121.9
Hawaii,2018,9.0,187.6
Iowa,2018,22.0,146.7
Idaho,2018,50.0,95.7
Illinois,2018,10.0,184.0
Indiana,2018,39.0,126.0
Kansas,2018,31.0,136.9
Kentucky,2018,40.0,124.1
Louisiana,2018,32.0,136.4
Massachusetts,2018,2.0,245.0
Maryland,2018,8.0,188.2
Maine,2018,7.0,194.3
Michigan,2018,6.0,200.9
Minnesota,2018,16.0,165.9
Missouri,2018,15.0,166.4
Mississippi,2018,47.0,108.6
Montana,2018,44.0,115.2
North Carolina,2018,33.0,132.5
North Dakota,2018,21.0,149.5
Nebraska,2018,19.0,155.5
New Hampshire,2018,17.0,163.0
New Jersey,2018,12.0,176.3
New Mexico,2018,26.0,141.6
Nevada,2018,48.0,107.6
New York,2018,3.0,223.7
Ohio,2018,13.0,174.6
Oklahoma,2018,36.0,129.4
Oregon,2018,24.0,145.4
Pennsylvania,2018,5.0,208.7
Rhode Island,2018,1.0,264.5
South Carolina,2018,37.0,128.9
South Dakota,2018,35.0,130.9
Tennessee,2018,28.0,140.2
Texas,2018,45.0,113.2
Utah,2018,49.0,99.2
Virginia,2018,25.0,144.6
Vermont,2018,11.0,183.3
Washington,2018,23.0,146.5
Wisconsin,2018,20.0,150.1
West Virginia,2018,14.0,168.5
Wyoming,2018,46.0,109.4
