State,Year,Uninsured_Rank,Uninsured_Value
Alaska,2018,48.0,13.9
Alabama,2018,36.0,9.3
United States,2018,0.0,8.7
Arkansas,2018,24.0,7.9
Arizona,2018,39.0,10.1
California,2018,21.0,7.3
Colorado,2018,23.0,7.5
Connecticut,2018,7.0,5.2
District of Columbia,2018,0.0,3.9
Delaware,2018,11.0,5.6
Florida,2018,46.0,12.7
Georgia,2018,47.0,13.2
Hawaii,2018,2.0,3.7
Iowa,2018,5.0,4.5
Idaho,2018,39.0,10.1
Illinois,2018,20.0,6.7
Indiana,2018,27.0,8.2
Kansas,2018,30.0,8.7
Kentucky,2018,8.0,5.3
Louisiana,2018,38.0,9.4
Massachusetts,2018,1.0,2.7
Maryland,2018,17.0,6.1
Maine,2018,26.0,8.1
Michigan,2018,8.0,5.3
Minnesota,2018,4.0,4.3
Missouri,2018,33.0,9.0
Mississippi,2018,44.0,11.9
Montana,2018,28.0,8.3
North Carolina,2018,42.0,10.6
North Dakota,2018,21.0,7.3
Nebraska,2018,29.0,8.5
New Hampshire,2018,15.0,5.9
New Jersey,2018,24.0,7.9
New Mexico,2018,35.0,9.2
Nevada,2018,43.0,11.3
New York,2018,15.0,5.9
Ohio,2018,14.0,5.8
Oklahoma,2018,49.0,14.0
Oregon,2018,19.0,6.5
Pennsylvania,2018,11.0,5.6
Rhode Island,2018,5.0,4.5
South Carolina,2018,41.0,10.5
South Dakota,2018,32.0,8.9
Tennessee,2018,36.0,9.3
Texas,2018,50.0,17.0
Utah,2018,33.0,9.0
Virginia,2018,31.0,8.8
Vermont,2018,3.0,4.2
Washington,2018,17.0,6.1
Wisconsin,2018,10.0,5.4
West Virginia,2018,13.0,5.7
Wyoming,2018,44.0,11.9
