State,Year,Cholesterol_Check_Rank,Cholesterol_Check_Value
Alabama,2019,14.0,87.5
Alaska,2019,50.0,75.1
Arizona,2019,30.0,85.2
Arkansas,2019,41.0,82.8
California,2019,13.0,87.6
Colorado,2019,24.0,86.0
Connecticut,2019,1.0,91.4
Delaware,2019,5.0,90.2
Florida,2019,8.0,89.3
Georgia,2019,7.0,89.4
Hawaii,2019,39.0,83.5
Idaho,2019,49.0,78.4
Illinois,2019,18.0,86.8
Indiana,2019,40.0,83.4
Iowa,2019,37.0,84.4
Kansas,2019,32.0,84.8
Kentucky,2019,18.0,86.8
Louisiana,2019,25.0,85.9
Maine,2019,28.0,85.4
Maryland,2019,3.0,91.0
Massachusetts,2019,12.0,88.2
Michigan,2019,9.0,89.2
Minnesota,2019,17.0,86.9
Mississippi,2019,34.0,84.7
Missouri,2019,26.0,85.6
Montana,2019,46.0,80.6
Nebraska,2019,37.0,84.4
Nevada,2019,32.0,84.8
New Hampshire,2019,11.0,88.8
New Jersey,2019,2.0,91.1
New Mexico,2019,42.0,82.1
New York,2019,6.0,89.5
North Carolina,2019,20.0,86.7
North Dakota,2019,45.0,80.9
Ohio,2019,29.0,85.3
Oklahoma,2019,44.0,82.0
Oregon,2019,36.0,84.5
Pennsylvania,2019,22.0,86.1
Rhode Island,2019,4.0,90.5
South Carolina,2019,14.0,87.5
South Dakota,2019,42.0,82.1
Tennessee,2019,10.0,89.0
Texas,2019,35.0,84.6
Utah,2019,48.0,80.0
Vermont,2019,22.0,86.1
Virginia,2019,16.0,87.0
Washington,2019,26.0,85.6
West Virginia,2019,21.0,86.6
Wisconsin,2019,31.0,85.0
Wyoming,2019,47.0,80.4
United States,2019,0.0,85.9
District of Columbia,2019,0.0,90.5
