State,Year,Immunizations_Children_Rank,Immunizations_Children_Value
Alaska,2019,32.0,69.5
Alabama,2019,21.0,71.2
United States,2019,0.0,70.4
Arkansas,2019,34.0,69.4
Arizona,2019,44.0,66.5
California,2019,39.0,68.6
Colorado,2019,23.0,71.0
Connecticut,2019,10.0,75.3
District of Columbia,2019,0.0,74.0
Delaware,2019,6.0,77.1
Florida,2019,8.0,76.2
Georgia,2019,50.0,65.6
Hawaii,2019,31.0,69.8
Iowa,2019,16.0,72.8
Idaho,2019,36.0,69.2
Illinois,2019,9.0,75.4
Indiana,2019,46.0,66.3
Kansas,2019,32.0,69.5
Kentucky,2019,23.0,71.0
Louisiana,2019,28.0,70.0
Massachusetts,2019,1.0,82.1
Maryland,2019,11.0,75.2
Maine,2019,17.0,72.7
Michigan,2019,29.0,69.9
Minnesota,2019,48.0,66.1
Missouri,2019,21.0,71.2
Mississippi,2019,38.0,68.7
Montana,2019,47.0,66.2
North Carolina,2019,25.0,70.9
North Dakota,2019,4.0,78.8
Nebraska,2019,5.0,77.9
New Hampshire,2019,3.0,78.9
New Jersey,2019,35.0,69.3
New Mexico,2019,19.0,71.9
Nevada,2019,20.0,71.3
New York,2019,42.0,67.5
Ohio,2019,45.0,66.4
Oklahoma,2019,43.0,67.3
Oregon,2019,27.0,70.3
Pennsylvania,2019,26.0,70.4
Rhode Island,2019,14.0,74.4
South Carolina,2019,49.0,66.0
South Dakota,2019,12.0,74.7
Tennessee,2019,2.0,79.3
Texas,2019,41.0,67.8
Utah,2019,40.0,67.9
Virginia,2019,6.0,77.1
Vermont,2019,15.0,74.0
Washington,2019,29.0,69.9
Wisconsin,2019,36.0,69.2
West Virginia,2019,12.0,74.7
Wyoming,2019,18.0,72.0
