State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
TX,Texas,02/01/2018,N,U,Y,118381,,N/A,,118381,,84622,,14874,,99496,,,4436055,,33.8191,-80.9066,3803351,,632704,
WI,Wisconsin,02/01/2018,N,U,Y,22281,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,22281,Does Not Include All Applications for Limited-Benefit Programs,17378,"Count is of Households, Not Individuals",1095,,18473,,,1040641,,37.768,-78.2057,972861,,67780,
MT,Montana,02/01/2018,Y,U,Y,3060,,N/A,,3060,,3657,,284,,3941,,,278379,,14.8058,145.5505,251602,,26777,
NC,North Carolina,02/01/2018,N,U,Y,22226,,N/A,,22226,,34999,,3775,,38774,,,1790591,,32.7673,-89.6812,1551533,,239058,
MS,Mississippi,02/01/2018,N,U,Y,16452,,N/A,,16452,,10119,,378,,10497,,,640771,,38.4623,-92.302,561953,,78818,
AL,Alabama,02/01/2018,N,U,Y,18090,,N/A,,18090,,27859,,2716,,30575,,,902775,,32.799,-86.8073,726854,,175921,
MI,Michigan,02/01/2018,Y,U,Y,43172,,N/A,,43172,,42819,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1288,,44107,,Does Not Include All Full-Benefit Child Medicaid enrollees,2381797,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,2325253,Does Not Include All Full-Benefit Medicaid enrollees,56544,
WV,West Virginia,02/01/2018,Y,U,Y,22600,,N/A,,22600,,11719,,579,,12298,,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),538046,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,505083,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),32963,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
MN,Minnesota,02/01/2018,Y,U,Y,5552,,21430,,26982,,19600,,43,,19643,,,1081559,,43.3504,-84.5603,1080142,,1417,
WY,Wyoming,02/01/2018,N,U,Y,1489,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1489,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,1051,,28,,1079,,,60905,,44.0407,-72.7093,56081,,4824,
UT,Utah,02/01/2018,N,U,Y,23120,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,23120,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",47451,Includes CHIP,,,47451,,,301585,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,254766,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,46819,
DC,District of Columbia,02/01/2018,Y,U,Y,1017,Includes SBM data,2190,,3207,Includes Renewals and/or Redeterminations,3357,Includes Renewals and/or Redeterminations; Includes CHIP,,,3357,,,263860,,41.5834,-72.7622,251002,,12858,
KS,Kansas,02/01/2018,N,U,Y,,,N/A,,,,,,,,,,,396699,,39.8647,-86.2604,344353,,52346,
NY,New York,02/01/2018,Y,U,Y,,,691338,Includes Renewals and/or Redeterminations,691338,Includes Renewals and/or Redeterminations,149540,Includes Renewals and/or Redeterminations,12676,Includes Renewals and/or Redeterminations,162216,Includes Renewals and/or Redeterminations,Includes Limited-Benefit Enrollees,6488545,Includes Limited-Benefit Enrollees,34.8375,-106.2371,5881553,Includes Limited-Benefit Enrollees,606992,
SC,South Carolina,02/01/2018,N,U,Y,22347,,N/A,,22347,,6532,Does Not Include All Medicaid Determinations Made At Application,119,Does Not Include All CHIP Determinations Made At Application,6651,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,,1039978,,40.5773,-77.264,955846,,84132,
PA,Pennsylvania,02/01/2018,Y,U,Y,80253,Includes Renewals and/or Redeterminations,N/A,,80253,Includes Renewals and/or Redeterminations,48196,"Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals",9965,"Count is of Households, Not Individuals",58161,"Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals",,3005552,,35.5376,-96.9247,2824720,,180832,
MD,Maryland,02/01/2018,Y,U,Y,7622,,79909,Includes Renewals and/or Redeterminations,87531,Includes Renewals and/or Redeterminations,25746,Includes Renewals and/or Redeterminations,3674,Includes Renewals and/or Redeterminations,29420,Includes Renewals and/or Redeterminations,,1330636,,42.2373,-71.5314,1180761,,149875,
VT,Vermont,02/01/2018,Y,U,Y,3010,,953,,3963,Includes Renewals and/or Redeterminations,3618,Includes Renewals and/or Redeterminations,96,,3714,,,165279,,31.106,-97.6475,160577,,4702,
IN,Indiana,02/01/2018,Y,U,Y,87289,,N/A,,87289,,35260,,2942,,38202,,,1465020,,40.3363,-89.0022,1356659,,108361,
OR,Oregon,02/01/2018,Y,U,Y,12653,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,12653,Does Not Include All Non-MAGI Applications,25328,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",2265,,27593,Does Not Include All Non-MAGI Determinations Made At Application,,970752,,40.3736,-82.7755,844832,,125920,
WA,Washington,02/01/2018,Y,U,Y,18472,,68675,,87147,,35689,,1297,,36986,,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1774008,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,1710884,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),63124,
AK,Alaska,02/01/2018,Y,U,Y,3052,Includes Renewals and/or Redeterminations,N/A,,3052,Includes Renewals and/or Redeterminations,2334,Includes Renewals and/or Redeterminations; Includes CHIP,,,2334,Includes Renewals and/or Redeterminations,,204311,,61.385,-152.2683,191133,,13178,
GA,Georgia,02/01/2018,N,U,Y,48870,,N/A,,48870,,39158,,1466,,40624,,,1840410,,27.8333,-81.717,1637681,,202729,
IL,Illinois,02/01/2018,Y,U,Y,58448,,N/A,,58448,,34745,,12228,,46973,,,3022233,,44.2394,-114.5103,2790720,,231513,
HI,Hawaii,02/01/2018,Y,U,Y,4056,,N/A,,4056,,6465,,360,,6825,,,350462,,32.9866,-83.6487,325479,,24983,
MA,Massachusetts,02/01/2018,Y,U,Y,18459,,3068,,21527,,,,,,,,,1652169,,31.1801,-91.8749,1476285,,175884,
TN,Tennessee,02/01/2018,N,U,Y,537,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,N/A,,537,Does Not Include All Medicaid Applications,,Does Not Include All Medicaid Determinations Made At Application,489,,489,Does Not Include All Medicaid Determinations Made At Application,,1534978,,41.6772,-71.5101,1455833,,79145,
NH,New Hampshire,02/01/2018,Y,U,Y,8247,,N/A,,8247,,5289,,499,,5788,,,187828,,47.5362,-99.793,173222,,14606,
