State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
MO,Missouri,10/01/2018,N,U,Y,21395,,N/A,,21395,,11024,"Includes CHIP; Count is of Households, Not Individuals",,,11024,"Count is of Households, Not Individuals",579304,,908929,,45.7326,-93.9196,"(45.7326, -93.9196)",877344,,31585,
HI,Hawaii,10/01/2018,Y,U,Y,5316,,N/A,,5316,,5709,,399,,6108,,141425,,332940,,32.9866,-83.6487,"(32.9866, -83.6487)",307944,,24996,
KY,Kentucky,10/01/2018,Y,U,Y,10501,,,,10501,,,,,,,,564298,,1220355,,38.5111,-96.8005,"(38.5111, -96.8005)",1132008,,88347,
MA,Massachusetts,10/01/2018,Y,U,Y,18862,,2420,,21282,,,,,,,,687698,,1613903,,31.1801,-91.8749,"(31.1801, -91.8749)",1425151,,188752,
CO,Colorado,10/01/2018,Y,U,Y,23650,,519,,24169,,21765,,386,,22151,,595111,,1327196,,36.17,-119.7462,"(36.17, -119.7462)",1246902,,80294,
AZ,Arizona,10/01/2018,Y,U,Y,111445,,N/A,,111445,,,,,,,,,,1693508,,14.2417,-170.7197,"(14.2417, -170.7197)",1591124,,102384,
AR,Arkansas,10/01/2018,Y,U,Y,20474,,N/A,,20474,,,,,,,,435677,,873844,,34.9513,-92.3809,"(34.9513, -92.3809)",788177,,85667,
NJ,New Jersey,10/01/2018,Y,U,Y,33792,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,33792,Does Not Include All Non-MAGI Applications,10517,Does Not Include All Non-MAGI Determinations Made At Application,4580,Does Not Include All CHIP Determinations Made At Application,15097,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,834724,,1753711,,41.1289,-98.2883,"(41.1289, -98.2883)",1540099,,213612,
ID,Idaho,10/01/2018,N,U,Y,8986,,,,8986,,13273,,1049,,14322,,200757,,278870,,42.0046,-93.214,"(42.0046, -93.214)",254492,,24378,
VA,Virginia,10/01/2018,Y,U,Y,23284,Includes Renewals and/or Redeterminations,N/A,,23284,Includes Renewals and/or Redeterminations,17727,Includes Renewals and/or Redeterminations,825,Includes Renewals and/or Redeterminations,18552,Includes Renewals and/or Redeterminations,697409,,1048180,,35.7449,-86.7489,"(35.7449, -86.7489)",908486,,139694,
UT,Utah,10/01/2018,N,U,Y,20970,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,20970,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",39498,Includes CHIP,,,39498,,199317,,293642,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",249051,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44591,
DE,Delaware,10/01/2018,Y,U,Y,3243,,N/A,,3243,,5206,,860,,6066,,105626,Includes Limited-Benefit Enrollees,248735,Includes Limited-Benefit Enrollees,38.8964,-77.0262,"(38.8964, -77.0262)",237430,Includes Limited-Benefit Enrollees,11305,
NE,Nebraska,10/01/2018,N,U,Y,6603,,N/A,,6603,,7521,,987,,8508,,164671,,247560,,35.6411,-79.8431,"(35.6411, -79.8431)",213311,,34249,
ND,North Dakota,10/01/2018,Y,U,Y,2186,,N/A,,2186,,2175,,62,,2237,,43542,,92526,,46.9048,-110.3261,"(46.9048, -110.3261)",90424,,2102,
IA,Iowa,10/01/2018,Y,U,Y,16114,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,16114,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,1487,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,1487,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,334596,,690215,,21.1098,-157.5311,"(21.1098, -157.5311)",618877,,71338,
TX,Texas,10/01/2018,N,U,Y,133637,,N/A,,133637,,99824,,17013,,116837,,3435431,,4351367,,33.8191,-80.9066,"(33.8191, -80.9066)",3732837,,618530,
KS,Kansas,10/01/2018,N,U,Y,,,N/A,,,,,,,,,,269713,,390123,,39.8647,-86.2604,"(39.8647, -86.2604)",336419,,53704,
MD,Maryland,10/01/2018,Y,U,Y,9338,,102299,Includes Renewals and/or Redeterminations,111637,Includes Renewals and/or Redeterminations,30409,Includes Renewals and/or Redeterminations,3782,Includes Renewals and/or Redeterminations,34191,Includes Renewals and/or Redeterminations,617339,,1311435,,42.2373,-71.5314,"(42.2373, -71.5314)",1157010,,154425,
